run,model,count,activated_trades,managed_expectancy,gross_managed_expectancy,profit_factor,avg_execution_cost_r,avg_total_cost_r,avg_mfe_r,avg_rr,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,walk_forward_passed,walk_forward_failed_gates,top_no_trade_reasons,barriers,source_dir
silver_bullet_costed_2025_q1_btc_15m,silver_bullet,4,4,-0.4409,-0.267208,0.285186,0.173693,,0.699561,2.0,0.0,0.25,0.0,0.5,False,min_managed_expectancy_r;min_phase_trades;min_profit_factor;min_total_trades,none:4:-0.4409,low_profit_factor;low_target_hit_rate;negative_expectancy;net_cost_gap;thin_sample;weak_1r_followthrough;wf_min_managed_expectancy_r;wf_min_phase_trades;wf_min_profit_factor;wf_min_total_trades,backtest_results\silver_bullet_costed_2025_q1_btc_15m
hyperliquid_official_btc_silver_bullet_15m,silver_bullet,70,60,-0.482389,-0.124419,0.339243,0.306181,0.306832,2.28838,2.0,0.157143,0.357143,0.157143,0.614286,False,max_drawdown_r;max_trades_per_session;min_managed_expectancy_r;min_profit_factor,none:70:-0.482389,cost_drag;high_invalidation;low_profit_factor;low_target_hit_rate;mfe_not_monetized;negative_expectancy;net_cost_gap;weak_1r_followthrough;wf_max_drawdown_r;wf_max_trades_per_session;wf_min_managed_expectancy_r;wf_min_profit_factor,backtest_results\hyperliquid_official_btc_silver_bullet_15m
silver_bullet_costed_2025_q3_btc_15m,silver_bullet,5,5,-0.955571,-0.7,0.000829,0.255571,,1.312574,2.0,0.0,0.2,0.0,0.8,False,min_managed_expectancy_r;min_phase_trades;min_profit_factor;min_total_trades,none:5:-0.955571,cost_drag;high_invalidation;low_profit_factor;low_target_hit_rate;negative_expectancy;net_cost_gap;thin_sample;weak_1r_followthrough;wf_min_managed_expectancy_r;wf_min_phase_trades;wf_min_profit_factor;wf_min_total_trades,backtest_results\silver_bullet_costed_2025_q3_btc_15m
notebooklm_execution_probe_2025_btc_15m_silver_aligned,silver_bullet,3,2,-1.0,,,,,0.373737,2.0,0.0,0.0,0.0,0.666667,,,none:3:-1.0,high_invalidation;low_target_hit_rate;missing_profit_factor;negative_expectancy;thin_sample;weak_1r_followthrough,backtest_results\notebooklm_execution_probe_2025_btc_15m_silver_aligned
silver_bullet_costed_2026_03_btc_15m,silver_bullet,2,2,-1.151873,-1.0,,0.151873,,0.177909,2.0,0.0,0.0,0.0,1.0,,,none:2:-1.151873,high_invalidation;low_target_hit_rate;missing_profit_factor;negative_expectancy;net_cost_gap;thin_sample;weak_1r_followthrough,backtest_results\silver_bullet_costed_2026_03_btc_15m
silver_bullet_costed_2026_01_btc_15m,silver_bullet,1,1,-1.211595,-1.0,,0.211595,,0.031369,2.0,0.0,0.0,0.0,1.0,,,none:1:-1.211595,high_invalidation;low_target_hit_rate;missing_profit_factor;negative_expectancy;net_cost_gap;thin_sample;weak_1r_followthrough,backtest_results\silver_bullet_costed_2026_01_btc_15m
hyperliquid_recent_sp500_silver_bullet_15m,silver_bullet,58,58,-1.26128,0.072371,0.075659,1.333651,,2.753275,2.0,0.206897,0.5,0.206897,0.637931,False,max_drawdown_r;max_trades_per_session;min_managed_expectancy_r;min_profit_factor,none:58:-1.26128,cost_drag;high_invalidation;low_profit_factor;low_target_hit_rate;mfe_not_monetized;negative_expectancy;net_cost_gap;wf_max_drawdown_r;wf_max_trades_per_session;wf_min_managed_expectancy_r;wf_min_profit_factor,backtest_results\hyperliquid_recent_sp500_silver_bullet_15m
hyperliquid_recent_xyz100_silver_bullet_15m,silver_bullet,44,44,-1.416135,0.091727,0.111207,1.507862,,2.925293,2.0,0.363636,0.454545,0.363636,0.545455,False,max_drawdown_r;max_trades_per_session;min_managed_expectancy_r;min_profit_factor,none:44:-1.416135,cost_drag;low_profit_factor;negative_expectancy;net_cost_gap;wf_max_drawdown_r;wf_max_trades_per_session;wf_min_managed_expectancy_r;wf_min_profit_factor,backtest_results\hyperliquid_recent_xyz100_silver_bullet_15m
hyperliquid_official_xyz100_silver_bullet_15m,silver_bullet,72,68,-1.478487,-0.058894,0.066541,1.336732,1.340727,2.461995,2.0,0.236111,0.388889,0.236111,0.597222,False,max_drawdown_r;max_trades_per_session;min_managed_expectancy_r;min_profit_factor,none:72:-1.478487,cost_drag;high_invalidation;low_profit_factor;low_target_hit_rate;mfe_not_monetized;negative_expectancy;net_cost_gap;weak_1r_followthrough;wf_max_drawdown_r;wf_max_trades_per_session;wf_min_managed_expectancy_r;wf_min_profit_factor,backtest_results\hyperliquid_official_xyz100_silver_bullet_15m
hyperliquid_official_sp500_silver_bullet_15m,silver_bullet,84,81,-1.586453,-0.070278,0.047457,1.458047,1.462026,2.461341,2.0,0.142857,0.428571,0.142857,0.702381,False,max_drawdown_r;max_trades_per_session;min_managed_expectancy_r;min_profit_factor,none:84:-1.586453,cost_drag;high_invalidation;low_profit_factor;low_target_hit_rate;mfe_not_monetized;negative_expectancy;net_cost_gap;weak_1r_followthrough;wf_max_drawdown_r;wf_max_trades_per_session;wf_min_managed_expectancy_r;wf_min_profit_factor,backtest_results\hyperliquid_official_sp500_silver_bullet_15m
batch_score_may_jun_2025_1h_aligned,silver_bullet,2,2,,,,,,0.563267,2.0,0.0,0.0,0.0,1.0,,,target_rr_below_3:2:,high_invalidation;low_target_hit_rate;missing_expectancy;missing_profit_factor;target_rr_pressure;thin_sample;weak_1r_followthrough,backtest_results\batch_score_may_jun_2025_1h_aligned
batch_score_may_jun_2025_1h_off,silver_bullet,26,26,,,,,,1.179953,2.0,0.115385,0.384615,0.115385,0.615385,,,target_rr_below_3:26:,high_invalidation;low_target_hit_rate;missing_expectancy;missing_profit_factor;target_rr_pressure;thin_sample;weak_1r_followthrough,backtest_results\batch_score_may_jun_2025_1h_off
batch_score_may_jun_2025_1h_strict,silver_bullet,2,2,,,,,,0.563267,2.0,0.0,0.0,0.0,1.0,,,target_rr_below_3:2:,high_invalidation;low_target_hit_rate;missing_expectancy;missing_profit_factor;target_rr_pressure;thin_sample;weak_1r_followthrough,backtest_results\batch_score_may_jun_2025_1h_strict
batch_score_may_jun_2025_30m_btc_aligned,silver_bullet,6,6,,,,,,2.541757,2.0,0.333333,0.666667,0.333333,0.5,,,target_rr_below_3:6:,missing_expectancy;missing_profit_factor;target_rr_pressure;thin_sample,backtest_results\batch_score_may_jun_2025_30m_btc_aligned
batch_score_may_jun_2025_30m_btc_off,silver_bullet,22,22,,,,,,2.381866,2.0,0.318182,0.590909,0.318182,0.5,,,target_rr_below_3:22:,missing_expectancy;missing_profit_factor;target_rr_pressure;thin_sample,backtest_results\batch_score_may_jun_2025_30m_btc_off
batch_score_may_jun_2025_30m_btc_strict,silver_bullet,6,6,,,,,,2.541757,2.0,0.333333,0.666667,0.333333,0.5,,,target_rr_below_3:6:,missing_expectancy;missing_profit_factor;target_rr_pressure;thin_sample,backtest_results\batch_score_may_jun_2025_30m_btc_strict
batch_score_may_oct_2025_1h_aligned,silver_bullet,8,8,,,,,,1.025933,2.0,0.125,0.375,0.125,0.5,,,poor_pd_location;target_rr_below_3:5:;target_rr_below_3:3:,low_target_hit_rate;missing_expectancy;missing_profit_factor;target_rr_pressure;thin_sample;weak_1r_followthrough,backtest_results\batch_score_may_oct_2025_1h_aligned
batch_score_may_oct_2025_30m_btc_aligned,silver_bullet,15,15,,,,,,1.340204,2.0,0.133333,0.266667,0.133333,0.6,,,poor_pd_location;target_rr_below_3:10:;target_rr_below_3:5:,high_invalidation;low_target_hit_rate;missing_expectancy;missing_profit_factor;target_rr_pressure;thin_sample;weak_1r_followthrough,backtest_results\batch_score_may_oct_2025_30m_btc_aligned
new_ict_models_aligned,silver_bullet,50,,,,,,,2.861442,,0.3,,,0.36,,,,missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\new_ict_models_aligned
new_ict_models_off,silver_bullet,167,,,,,,,3.095311,,0.239521,,,0.520958,,,,low_target_hit_rate;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\new_ict_models_off
new_ict_models_quality_aligned,silver_bullet,35,35,,,,,,1.150462,2.0,0.142857,0.342857,0.142857,0.428571,,,,low_target_hit_rate;missing_expectancy;missing_profit_factor;weak_1r_followthrough,backtest_results\new_ict_models_quality_aligned
new_ict_models_quality_off,silver_bullet,91,91,,,,,,1.09827,2.0,0.120879,0.340659,0.120879,0.538462,,,,low_target_hit_rate;missing_expectancy;missing_profit_factor;weak_1r_followthrough,backtest_results\new_ict_models_quality_off
silver_bullet_ny_10,silver_bullet,70,,,,,,,2.476006,,0.2,,,0.471429,,,,low_target_hit_rate;mfe_not_monetized;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\silver_bullet_ny_10
silver_bullet_quality_ny_10,silver_bullet,60,60,,,,,,0.948922,2.0,0.1,0.233333,0.1,0.483333,,,,low_target_hit_rate;missing_expectancy;missing_profit_factor;weak_1r_followthrough,backtest_results\silver_bullet_quality_ny_10
smoke_new_ict_models,silver_bullet,18,,,,,,,6.566115,,0.333333,,,0.666667,,,,high_invalidation;missing_expectancy;missing_profit_factor;zero_activated_trades,backtest_results\smoke_new_ict_models
smoke_new_ict_models_quality,silver_bullet,10,10,,,,,,1.046651,2.0,0.0,0.2,0.0,0.8,,,,high_invalidation;low_target_hit_rate;missing_expectancy;missing_profit_factor;thin_sample;weak_1r_followthrough,backtest_results\smoke_new_ict_models_quality
asian_turtle_smt_on_sweep_probe_extended_btc_1h,turtle_soup,8,8,1.02387,1.25,inf,0.22613,,4.323379,2.0,0.75,1.0,0.75,0.25,False,min_phase_trades;min_total_trades,target_rr_below_3:8:1.02387,net_cost_gap;target_rr_pressure;thin_sample;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_smt_on_sweep_probe_extended_btc_1h
asian_turtle_smt_on_sweep_dol_selected_2024-11-06_2026-04-20_btc_1h,turtle_soup,8,8,0.897895,1.124026,211.359973,0.22613,,4.323379,2.131558,0.875,0.875,0.75,0.125,False,min_phase_trades;min_total_trades,target_rr_below_2:5:0.725914;none:2:0.941504;target_rr_below_3:1:1.670583,net_cost_gap;target_rr_pressure;thin_sample;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_smt_on_sweep_dol_selected_2024-11-06_2026-04-20_btc_1h
asian_turtle_full1r_clean_strong_btc_tfdir_control_2024-11-06_2026-04-20_30m_1h_dedupe30,turtle_soup,5,5,0.645149,0.803903,95.466395,0.158754,0.158754,,,,,,,False,min_phase_trades;min_total_trades,,net_cost_gap;thin_sample;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_strong_btc_tfdir_control_2024-11-06_2026-04-20_30m_1h_dedupe30
asian_turtle_full1r_clean_strong_btc_tfdir_funding_control_2024-11-06_2026-04-20_30m_1h_dedupe_30m_priority,turtle_soup,5,5,0.645026,0.803903,95.448385,0.158754,0.158877,,,,,,,False,min_phase_trades;min_total_trades,,net_cost_gap;thin_sample;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_strong_btc_tfdir_funding_control_2024-11-06_2026-04-20_30m_1h_dedupe_30m_priority
asian_turtle_full1r_clean_strong_btc_tfdir_funding_control_2024-11-06_2026-04-20_30m_1h_dedupe_first,turtle_soup,5,5,0.645026,0.803903,95.448385,0.158754,0.158877,,,,,,,False,min_phase_trades;min_total_trades,,net_cost_gap;thin_sample;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_strong_btc_tfdir_funding_control_2024-11-06_2026-04-20_30m_1h_dedupe_first
asian_turtle_full1r_clean_strong_btc_tfdir_funding_control_2024-11-06_2026-04-20_30m_1h_dedupe_highscore,turtle_soup,5,5,0.645026,0.803903,95.448385,0.158754,0.158877,,,,,,,False,min_phase_trades;min_total_trades,,net_cost_gap;thin_sample;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_strong_btc_tfdir_funding_control_2024-11-06_2026-04-20_30m_1h_dedupe_highscore
asian_turtle_full1r_clean_reclaim_control_2024-11-06_2026-04-20_btc_1h,turtle_soup,11,11,0.639639,0.851659,207.05122,0.21202,0.21202,4.377282,1.767983,0.909091,0.818182,0.636364,0.090909,False,min_phase_trades;min_total_trades,target_rr_below_2:8:0.613603;none:2:0.672486;target_rr_below_3:1:0.782236,net_cost_gap;target_rr_pressure;thin_sample;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_reclaim_control_2024-11-06_2026-04-20_btc_1h
asian_turtle_full1r_clean_strong_btc_tfdir_funding_control_2024-11-06_2026-04-20_30m_1h_nodedupe_max2,turtle_soup,6,6,0.57888,0.728041,102.715524,0.149059,0.149161,,,,,,,False,min_phase_trades;min_total_trades,,thin_sample;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_strong_btc_tfdir_funding_control_2024-11-06_2026-04-20_30m_1h_nodedupe_max2
asian_turtle_full1r_clean_strong_btc_tfdir_funding_control_2024-11-06_2026-04-20_30m_1h,turtle_soup,20,20,0.551558,0.756623,79.564501,0.207006,0.205065,3.788684,1.535259,0.75,0.8,0.45,0.2,False,min_managed_expectancy_r;min_phase_trades;min_total_trades,target_rr_below_2:16:0.501408;target_rr_below_3:2:0.831829;none:2:0.672486,net_cost_gap;target_rr_pressure;thin_sample;wf_min_managed_expectancy_r;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_strong_btc_tfdir_funding_control_2024-11-06_2026-04-20_30m_1h
asian_turtle_full1r_clean_strong_btc_control_2024-11-06_2026-04-20_30m_1h,turtle_soup,20,20,0.549617,0.756623,128.546139,0.207006,0.207006,3.788684,1.535259,0.75,0.8,0.45,0.2,False,max_trades_per_session;min_phase_trades;min_total_trades,target_rr_below_2:16:0.498982;target_rr_below_3:2:0.831829;none:2:0.672486,net_cost_gap;target_rr_pressure;thin_sample;wf_max_trades_per_session;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_strong_btc_control_2024-11-06_2026-04-20_30m_1h
asian_turtle_smt_on_sweep_costed_extended,turtle_soup,7,7,0.540621,0.752029,3.406826,0.211408,,3.003636,2.0,0.571429,0.714286,0.571429,0.285714,False,min_managed_expectancy_r;min_phase_trades;min_profit_factor;min_total_trades,target_rr_below_3:7:0.540621,net_cost_gap;target_rr_pressure;thin_sample;wf_min_managed_expectancy_r;wf_min_phase_trades;wf_min_profit_factor;wf_min_total_trades,backtest_results\asian_turtle_smt_on_sweep_costed_extended
asian_turtle_full1r_clean_strong_btc_tfdir_control_2024-11-06_2026-04-20_30m_1h,turtle_soup,5,5,0.536671,0.67365,79.582511,0.136978,0.136978,,,,,,,False,min_managed_expectancy_r;min_phase_trades;min_total_trades,,thin_sample;wf_min_managed_expectancy_r;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_strong_btc_tfdir_control_2024-11-06_2026-04-20_30m_1h
asian_turtle_full1r_clean_strong_btc_split_session_tfdir_control_2024-11-06_2026-04-20_30m_1h,turtle_soup,25,25,0.513284,0.725298,79.582511,0.212014,0.212014,3.435759,1.485741,0.68,0.8,0.36,0.28,False,min_managed_expectancy_r;min_phase_trades;min_total_trades,target_rr_below_2:21:0.467784;target_rr_below_3:2:0.831829;none:2:0.672486,net_cost_gap;target_rr_pressure;thin_sample;wf_min_managed_expectancy_r;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_strong_btc_split_session_tfdir_control_2024-11-06_2026-04-20_30m_1h
asian_turtle_smt_on_sweep_dol_selected_2024-11-06_2026-04-20_btc_1h_tp1full_allsignals,turtle_soup,18,18,0.501896,0.66224,4.875922,0.160344,0.160344,3.088897,1.306275,0.833333,0.722222,0.333333,0.166667,False,min_phase_trades;min_total_trades,target_rr_below_2:15:0.593345;none:2:-0.324147;target_rr_below_3:1:0.782236,net_cost_gap;target_rr_pressure;thin_sample;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_smt_on_sweep_dol_selected_2024-11-06_2026-04-20_btc_1h_tp1full_allsignals
asian_turtle_full1r_clean_strong_btc_nyopen_tfdir_control_2024-11-06_2026-04-20_30m_1h,turtle_soup,19,19,0.490587,0.690155,inf,0.199567,0.199567,3.381471,1.433191,0.631579,0.789474,0.315789,0.315789,False,min_managed_expectancy_r;min_phase_trades;min_total_trades,target_rr_below_2:16:0.442053;target_rr_below_3:2:0.831829;none:1:0.584652,net_cost_gap;target_rr_pressure;thin_sample;wf_min_managed_expectancy_r;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_strong_btc_nyopen_tfdir_control_2024-11-06_2026-04-20_30m_1h
asian_turtle_full1r_clean_strong_btc_tfdir_funding_full_2022-01-01_2026-04-20_30m_1h_nodedupe_max2,turtle_soup,34,34,0.472046,0.648364,4.990648,0.177101,0.176318,,,,,,,True,,,net_cost_gap,backtest_results\asian_turtle_full1r_clean_strong_btc_tfdir_funding_full_2022-01-01_2026-04-20_30m_1h_nodedupe_max2
asian_turtle_full1r_clean_strong_btc_tfdir_funding_oos_2022-01-01_2024-11-05_30m_1h_nodedupe_max2,turtle_soup,28,28,0.449152,0.63129,4.15381,0.18311,0.182138,,,,,,,False,min_phase_trades;min_total_trades,,net_cost_gap;thin_sample;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_strong_btc_tfdir_funding_oos_2022-01-01_2024-11-05_30m_1h_nodedupe_max2
asian_turtle_full1r_clean_strong_multi_control_2024-11-06_2026-04-20_btc_eth_1h,turtle_soup,19,19,0.446395,0.617726,1.279217,0.171331,0.171331,3.974132,1.81295,0.736842,0.684211,0.421053,0.263158,False,min_managed_expectancy_r;min_phase_trades;min_profit_factor;min_total_trades,target_rr_below_2:14:0.33336;none:3:0.714566;target_rr_below_3:2:0.83539,low_profit_factor;net_cost_gap;target_rr_pressure;thin_sample;wf_min_managed_expectancy_r;wf_min_phase_trades;wf_min_profit_factor;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_strong_multi_control_2024-11-06_2026-04-20_btc_eth_1h
asian_turtle_full1r_control_2024-11-06_2026-04-20_btc_1h,turtle_soup,18,18,0.446259,0.607768,4.594118,0.161509,0.161509,3.588737,1.341972,0.833333,0.666667,0.444444,0.166667,False,min_managed_expectancy_r;min_phase_trades;min_total_trades,target_rr_below_2:15:0.393697;none:2:0.672486;target_rr_below_3:1:0.782236,net_cost_gap;target_rr_pressure;thin_sample;wf_min_managed_expectancy_r;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_full1r_control_2024-11-06_2026-04-20_btc_1h
asian_turtle_full1r_clean_strong_btc_tfdir_funding_full_2022-01-01_2026-04-20_30m_1h_dedupe_30m_priority,turtle_soup,28,28,0.44259,0.625149,4.081342,0.18359,0.182559,,,,,,,False,min_managed_expectancy_r;min_phase_trades;min_total_trades,,net_cost_gap;thin_sample;wf_min_managed_expectancy_r;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_strong_btc_tfdir_funding_full_2022-01-01_2026-04-20_30m_1h_dedupe_30m_priority
asian_turtle_full1r_clean_strong_btc_tfdir_funding_full_2022-01-01_2026-04-20_30m_1h_dedupe_first,turtle_soup,28,28,0.44259,0.625149,4.081342,0.18359,0.182559,,,,,,,False,min_managed_expectancy_r;min_phase_trades;min_total_trades,,net_cost_gap;thin_sample;wf_min_managed_expectancy_r;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_strong_btc_tfdir_funding_full_2022-01-01_2026-04-20_30m_1h_dedupe_first
asian_turtle_full1r_clean_strong_btc_tfdir_funding_full_2022-01-01_2026-04-20_30m_1h_dedupe_highscore,turtle_soup,28,28,0.44259,0.625149,4.081342,0.18359,0.182559,,,,,,,False,min_managed_expectancy_r;min_phase_trades;min_total_trades,,net_cost_gap;thin_sample;wf_min_managed_expectancy_r;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_strong_btc_tfdir_funding_full_2022-01-01_2026-04-20_30m_1h_dedupe_highscore
asian_turtle_full1r_clean_strong_btc_tfdir_full_2022-01-01_2026-04-20_30m_1h_dedupe30,turtle_soup,28,28,0.441559,0.625149,4.045525,0.18359,0.18359,,,,,,,False,min_managed_expectancy_r;min_phase_trades;min_total_trades,,net_cost_gap;thin_sample;wf_min_managed_expectancy_r;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_strong_btc_tfdir_full_2022-01-01_2026-04-20_30m_1h_dedupe30
asian_turtle_full1r_clean_strong_btc_tfdir_full_2022-01-01_2026-04-20_30m_1h,turtle_soup,28,28,0.424625,0.600001,3.928732,0.175376,0.175376,,,,,,,False,min_managed_expectancy_r;min_phase_trades;min_total_trades,,net_cost_gap;thin_sample;wf_min_managed_expectancy_r;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_strong_btc_tfdir_full_2022-01-01_2026-04-20_30m_1h
asian_turtle_smt_on_sweep_costed_2025,turtle_soup,6,6,0.413177,0.627367,2.576671,0.21419,,2.319356,2.0,0.5,0.666667,0.5,0.333333,False,min_managed_expectancy_r;min_phase_trades;min_profit_factor;min_total_trades,target_rr_below_3:6:0.413177,net_cost_gap;target_rr_pressure;thin_sample;wf_min_managed_expectancy_r;wf_min_phase_trades;wf_min_profit_factor;wf_min_total_trades,backtest_results\asian_turtle_smt_on_sweep_costed_2025
asian_turtle_smt_orientation_check_2025_btc_30m,turtle_soup,6,6,0.413177,0.627367,,0.21419,,2.319356,2.0,0.5,0.666667,0.5,0.333333,,,target_rr_below_3:6:0.413177,missing_profit_factor;net_cost_gap;target_rr_pressure;thin_sample,backtest_results\asian_turtle_smt_orientation_check_2025_btc_30m
asian_turtle_full1r_clean_strong_btc_tfdir_oos_2022-01-01_2024-11-05_30m_1h,turtle_soup,23,23,0.400267,0.58399,3.286979,0.183723,0.183723,,,,,,,False,min_phase_trades;min_total_trades,,net_cost_gap;thin_sample;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_strong_btc_tfdir_oos_2022-01-01_2024-11-05_30m_1h
asian_turtle_full1r_clean_strong_btc_tfdir_funding_oos_2022-01-01_2024-11-05_30m_1h_dedupe_30m_priority,turtle_soup,23,23,0.398582,0.586289,3.298948,0.18899,0.187707,,,,,,,False,min_phase_trades;min_total_trades,,net_cost_gap;thin_sample;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_strong_btc_tfdir_funding_oos_2022-01-01_2024-11-05_30m_1h_dedupe_30m_priority
asian_turtle_full1r_clean_strong_btc_tfdir_funding_oos_2022-01-01_2024-11-05_30m_1h_dedupe_first,turtle_soup,23,23,0.398582,0.586289,3.298948,0.18899,0.187707,,,,,,,False,min_phase_trades;min_total_trades,,net_cost_gap;thin_sample;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_strong_btc_tfdir_funding_oos_2022-01-01_2024-11-05_30m_1h_dedupe_first
asian_turtle_full1r_clean_strong_btc_tfdir_funding_oos_2022-01-01_2024-11-05_30m_1h_dedupe_highscore,turtle_soup,23,23,0.398582,0.586289,3.298948,0.18899,0.187707,,,,,,,False,min_phase_trades;min_total_trades,,net_cost_gap;thin_sample;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_strong_btc_tfdir_funding_oos_2022-01-01_2024-11-05_30m_1h_dedupe_highscore
asian_turtle_full1r_clean_strong_btc_tfdir_oos_2022-01-01_2024-11-05_30m_1h_dedupe30,turtle_soup,23,23,0.3973,0.586289,3.270024,0.18899,0.18899,,,,,,,False,min_phase_trades;min_total_trades,,net_cost_gap;thin_sample;wf_min_phase_trades;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_strong_btc_tfdir_oos_2022-01-01_2024-11-05_30m_1h_dedupe30
asian_turtle_full1r_clean_strong_btc_sol_tfdir_funding_control_2024-11-06_2026-04-20_30m_1h,turtle_soup,42,42,0.391789,0.563768,1.430393,0.173004,0.171979,4.455905,2.005612,0.690476,0.714286,0.380952,0.285714,False,min_managed_expectancy_r;min_phase_trades;min_profit_factor;min_total_trades,target_rr_below_2:28:0.476985;none:8:0.00191;target_rr_below_3:6:0.514047,net_cost_gap;target_rr_pressure;wf_min_managed_expectancy_r;wf_min_phase_trades;wf_min_profit_factor;wf_min_total_trades,backtest_results\asian_turtle_full1r_clean_strong_btc_sol_tfdir_funding_control_2024-11-06_2026-04-20_30m_1h
asian_turtle_smt_on_sweep_dol_full_2022-01-01_2026-04-20_btc_1h_tp1full_allsignals,turtle_soup,50,50,0.384328,0.561255,3.075631,0.176928,0.176928,3.804911,1.703286,0.68,0.64,0.2,0.32,False,min_managed_expectancy_r,target_rr_below_2:39:0.402154;none:8:0.377722;target_rr_below_3:3:0.170205,net_cost_gap;target_rr_pressure;wf_min_managed_expectancy_r,backtest_results\asian_turtle_smt_on_sweep_dol_full_2022-01-01_2026-04-20_btc_1h_tp1full_allsignals
asian_turtle_smt_on_sweep_probe_extended_btc_15m_1h,turtle_soup,18,18,0.37545,0.771761,2.377055,0.396311,,3.225127,2.0,0.555556,0.777778,0.555556,0.388889,False,min_managed_expectancy_r;min_phase_trades;min_profit_factor;min_total_trades,target_rr_below_3:18:0.37545,cost_drag;net_cost_gap;target_rr_pressure;thin_sample;wf_min_managed_expectancy_r;wf_min_phase_trades;wf_min_profit_factor;wf_min_total_trades,backtest_results\asian_turtle_smt_on_sweep_probe_extended_btc_15m_1h
asian_turtle_full1r_clean_strong_btc_nyopen_tfdir_full_2022-01-01_2026-04-20_30m_1h_nodedupe,turtle_soup,31,31,0.360492,0.550748,2.881708,0.190256,0.190256,,,,,,,False,max_trades_per_session;min_managed_expectancy_r;min_profit_factor,,net_cost_gap;wf_max_trades_per_session;wf_min_managed_expectancy_r;wf_min_profit_factor,backtest_results\asian_turtle_full1r_clean_strong_btc_nyopen_tfdir_full_2022-01-01_2026-04-20_30m_1h_nodedupe
asian_turtle_smt_on_sweep_dol_full_2022-01-01_2026-04-20_btc_1h_tp1full_0900_1100,turtle_soup,49,49,0.352803,0.512502,2.722341,0.159699,0.159699,4.025815,1.554617,0.673469,0.612245,0.183673,0.326531,False,min_managed_expectancy_r,target_rr_below_2:39:0.348269;none:7:0.456324;target_rr_below_3:3:0.170205,net_cost_gap;target_rr_pressure;wf_min_managed_expectancy_r,backtest_results\asian_turtle_smt_on_sweep_dol_full_2022-01-01_2026-04-20_btc_1h_tp1full_0900_1100
asian_turtle_full1r_clean_reclaim_full_2022-01-01_2026-04-20_btc_1h,turtle_soup,42,42,0.328903,0.494959,2.487931,0.166055,0.166055,3.786161,1.685918,0.595238,0.619048,0.190476,0.357143,False,min_managed_expectancy_r;min_profit_factor,target_rr_below_2:31:0.296061;none:7:0.452751;target_rr_below_3:4:0.3667,net_cost_gap;target_rr_pressure;wf_min_managed_expectancy_r;wf_min_profit_factor,backtest_results\asian_turtle_full1r_clean_reclaim_full_2022-01-01_2026-04-20_btc_1h
asian_turtle_full1r_clean_strong_btc_sol_tfdir_funding_oos_2022-01-01_2024-11-05_30m_1h_nodedupe_max2,turtle_soup,41,41,0.327065,0.479189,2.593261,0.15316,0.152124,,,,,,,False,min_managed_expectancy_r,,net_cost_gap;wf_min_managed_expectancy_r,backtest_results\asian_turtle_full1r_clean_strong_btc_sol_tfdir_funding_oos_2022-01-01_2024-11-05_30m_1h_nodedupe_max2
