run,model,count,activated_trades,managed_expectancy,gross_managed_expectancy,profit_factor,avg_execution_cost_r,avg_total_cost_r,avg_mfe_r,avg_rr,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,walk_forward_passed,walk_forward_failed_gates,top_no_trade_reasons,barriers,source_dir
spec_annual_1h_eth_baseline,rejection_block,58,21,-0.087003,,,,,2.659396,67.538331,0.034483,0.189655,0.068966,0.275862,,,none:53:-0.177957;target_rr_below_2:4:0.458719;target_rr_below_3:1:,low_target_hit_rate;mfe_not_monetized;missing_profit_factor;negative_expectancy;poor_fill_or_activation;target_rr_pressure;thin_sample;weak_1r_followthrough,backtest_results\spec_annual_1h_eth_baseline
rejection_block_costed_extended_eth_1h_strict_baseline,rejection_block,104,39,-0.087709,0.046171,0.816027,0.050205,,2.400858,23.7596,0.028846,0.211538,0.076923,0.307692,False,max_trades_per_session;min_managed_expectancy_r;min_profit_factor,none:89:-0.154294;target_rr_below_2:9:0.150402;target_rr_below_3:6:0.230019,low_profit_factor;low_target_hit_rate;mfe_not_monetized;negative_expectancy;poor_fill_or_activation;target_rr_pressure;weak_1r_followthrough;wf_max_trades_per_session;wf_min_managed_expectancy_r;wf_min_profit_factor,backtest_results\rejection_block_costed_extended_eth_1h_strict_baseline
spec_annual_1h_btc_baseline,rejection_block,61,18,-0.110483,,,,,2.962116,45.389405,0.016393,0.163934,0.065574,0.262295,,,none:58:-0.117647;target_rr_below_2:3:0.011314,low_target_hit_rate;mfe_not_monetized;missing_profit_factor;negative_expectancy;poor_fill_or_activation;target_rr_pressure;thin_sample;weak_1r_followthrough,backtest_results\spec_annual_1h_btc_baseline
full_2025_updated_30m_btc_strict_tp1_1r_p30,rejection_block,71,71,-0.137358,,,,,3.647778,2.158731,0.28169,0.422535,0.169014,0.704225,,,target_rr_below_2:41:-0.129189;target_rr_below_3:17:0.120258;none:13:-0.5,high_invalidation;missing_profit_factor;negative_expectancy;target_rr_pressure;weak_1r_followthrough,backtest_results\full_2025_updated_30m_btc_strict_tp1_1r_p30
probe_costed_2025_btc_1h_rejection_block,rejection_block,52,18,-0.464745,-0.221594,,0.084168,,2.962116,30.091286,0.019231,0.192308,0.076923,0.307692,,,none:49:-0.492182;target_rr_below_2:3:0.001683,low_target_hit_rate;mfe_not_monetized;missing_profit_factor;negative_expectancy;net_cost_gap;poor_fill_or_activation;target_rr_pressure;thin_sample;weak_1r_followthrough,backtest_results\probe_costed_2025_btc_1h_rejection_block
spec_annual_4h_baseline,rejection_block,64,18,-0.52393,,,,,1.469791,16.182707,0.015625,0.0625,0.015625,0.25,,,none:49:-0.625;target_rr_below_2:13:-0.486147;target_rr_below_3:2:0.5,low_target_hit_rate;missing_profit_factor;negative_expectancy;poor_fill_or_activation;target_rr_pressure;thin_sample;weak_1r_followthrough,backtest_results\spec_annual_4h_baseline
spec_annual_1h_sol_baseline,rejection_block,23,3,-0.651368,,,,,0.406729,22.454053,0.0,0.0,0.0,0.086957,,,none:22:-1.0;target_rr_below_2:1:0.045897,low_target_hit_rate;missing_profit_factor;negative_expectancy;poor_fill_or_activation;target_rr_pressure;thin_sample;weak_1r_followthrough,backtest_results\spec_annual_1h_sol_baseline
probe_costed_2025_sol_1h_rejection_block,rejection_block,21,3,-0.773218,-0.719506,,0.007673,,0.406729,22.988271,0.0,0.0,0.0,0.095238,,,none:20:-1.078641;target_rr_below_2:1:-0.162374,low_target_hit_rate;missing_profit_factor;negative_expectancy;poor_fill_or_activation;target_rr_pressure;thin_sample;weak_1r_followthrough,backtest_results\probe_costed_2025_sol_1h_rejection_block
batch_score_may_jun_2025_1h_aligned,rejection_block,70,70,,,,,,5.799647,2.40827,0.557143,0.585714,0.4,0.385714,,,target_rr_below_2:19:;target_rr_below_3:15:;poor_pd_location:13:;poor_pd_location;target_rr_below_2:9:,missing_expectancy;missing_profit_factor;target_rr_pressure,backtest_results\batch_score_may_jun_2025_1h_aligned
batch_score_may_jun_2025_1h_off,rejection_block,669,669,,,,,,5.9514,2.12594,0.553064,0.609865,0.351271,0.427504,,,target_rr_below_2:409:;none:148:;target_rr_below_3:112:,missing_expectancy;missing_profit_factor;target_rr_pressure,backtest_results\batch_score_may_jun_2025_1h_off
batch_score_may_jun_2025_1h_strict,rejection_block,70,70,,,,,,5.799647,2.40827,0.557143,0.585714,0.4,0.385714,,,target_rr_below_2:19:;target_rr_below_3:15:;poor_pd_location:13:;poor_pd_location;target_rr_below_2:9:,missing_expectancy;missing_profit_factor;target_rr_pressure,backtest_results\batch_score_may_jun_2025_1h_strict
batch_score_may_jun_2025_30m_btc_aligned,rejection_block,57,57,,,,,,6.022033,2.056392,0.578947,0.649123,0.175439,0.350877,,,poor_pd_location;target_rr_below_2:28:;target_rr_below_2:11:;none:7:;poor_pd_location:4:,missing_expectancy;missing_profit_factor;target_rr_pressure,backtest_results\batch_score_may_jun_2025_30m_btc_aligned
batch_score_may_jun_2025_30m_btc_off,rejection_block,407,407,,,,,,5.954877,1.931673,0.628993,0.685504,0.339066,0.353808,,,target_rr_below_2:283:;none:81:;target_rr_below_3:43:,missing_expectancy;missing_profit_factor;target_rr_pressure,backtest_results\batch_score_may_jun_2025_30m_btc_off
batch_score_may_jun_2025_30m_btc_strict,rejection_block,57,57,,,,,,6.022033,2.056392,0.578947,0.649123,0.175439,0.350877,,,poor_pd_location;target_rr_below_2:28:;target_rr_below_2:11:;none:7:;poor_pd_location:4:,missing_expectancy;missing_profit_factor;target_rr_pressure,backtest_results\batch_score_may_jun_2025_30m_btc_strict
batch_score_may_jun_2025_4h_aligned,rejection_block,14,14,,,,,,5.547183,2.145225,0.571429,0.428571,0.285714,0.428571,,,poor_pd_location;target_rr_below_2:6:;target_rr_below_2:4:;none:3:;equilibrium;target_rr_below_2:1:,missing_expectancy;missing_profit_factor;target_rr_pressure;thin_sample;weak_1r_followthrough,backtest_results\batch_score_may_jun_2025_4h_aligned
batch_score_may_jun_2025_4h_off,rejection_block,141,141,,,,,,6.600719,2.213019,0.652482,0.624113,0.35461,0.326241,,,target_rr_below_2:100:;none:27:;target_rr_below_3:14:,missing_expectancy;missing_profit_factor;target_rr_pressure,backtest_results\batch_score_may_jun_2025_4h_off
batch_score_may_jun_2025_4h_strict,rejection_block,14,14,,,,,,5.547183,2.145225,0.571429,0.428571,0.285714,0.428571,,,poor_pd_location;target_rr_below_2:6:;target_rr_below_2:4:;none:3:;equilibrium;target_rr_below_2:1:,missing_expectancy;missing_profit_factor;target_rr_pressure;thin_sample;weak_1r_followthrough,backtest_results\batch_score_may_jun_2025_4h_strict
batch_score_may_oct_2025_1h_aligned,rejection_block,161,161,,,,,,5.621072,2.115813,0.583851,0.627329,0.42236,0.403727,,,target_rr_below_2:52:;poor_pd_location;target_rr_below_2:39:;target_rr_below_3:24:;poor_pd_location:21:,missing_expectancy;missing_profit_factor;target_rr_pressure,backtest_results\batch_score_may_oct_2025_1h_aligned
batch_score_may_oct_2025_1h_strict_spec,rejection_block,87,87,,,,,,4.723887,2.561259,0.482759,0.643678,0.344828,0.505747,,,target_rr_below_2:38:;target_rr_below_3:30:;none:19:,missing_expectancy;missing_profit_factor;target_rr_pressure,backtest_results\batch_score_may_oct_2025_1h_strict_spec
batch_score_may_oct_2025_30m_btc_aligned,rejection_block,149,149,,,,,,5.929336,2.043127,0.577181,0.610738,0.281879,0.389262,,,target_rr_below_2:52:;poor_pd_location;target_rr_below_2:47:;poor_pd_location:20:;none:17:,missing_expectancy;missing_profit_factor;target_rr_pressure,backtest_results\batch_score_may_oct_2025_30m_btc_aligned
batch_score_may_oct_2025_30m_btc_strict_spec,rejection_block,28,28,,,,,,4.858705,2.179148,0.464286,0.428571,0.285714,0.5,,,target_rr_below_2:19:;none:7:;target_rr_below_3:2:,missing_expectancy;missing_profit_factor;target_rr_pressure;thin_sample;weak_1r_followthrough,backtest_results\batch_score_may_oct_2025_30m_btc_strict_spec
batch_score_may_oct_2025_4h_aligned,rejection_block,44,44,,,,,,4.985211,1.437243,0.704545,0.477273,0.227273,0.295455,,,poor_pd_location;target_rr_below_2:23:;target_rr_below_2:14:;none:4:;target_rr_below_3:2:,missing_expectancy;missing_profit_factor;target_rr_pressure,backtest_results\batch_score_may_oct_2025_4h_aligned
batch_score_may_oct_2025_4h_strict_spec,rejection_block,25,25,,,,,,4.265098,2.350335,0.6,0.4,0.2,0.4,,,target_rr_below_2:17:;none:6:;target_rr_below_3:2:,missing_expectancy;missing_profit_factor;target_rr_pressure;thin_sample;weak_1r_followthrough,backtest_results\batch_score_may_oct_2025_4h_strict_spec
