model,timeframe,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,15m,10,10,10,0,2.346526,1.808298,0.4,2.0,80.0,0.345797,0.389169,-0.143287,-0.143287,0.532456,0.4,0.6,0.4,0.5,1.0,3.6,1.333333,2.0,0,10
turtle_soup,1h,8,8,8,0,4.323379,4.518039,0.75,2.0,80.0,1.25,1.25,1.02387,1.02387,0.22613,0.75,1.0,0.75,0.25,1.0,14.5,1.75,1.666667,0,8
