model,turtle_quality,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,strong,3,3,3,0,0.990712,1.071562,0.0,2.0,80.0,-0.514009,0.29723,0.091255,0.091255,0.205975,0.0,0.666667,0.0,0.666667,1.0,6.5,3.5,,0,3
turtle_soup,valid,15,15,15,0,3.67201,3.666389,0.666667,2.0,80.0,1.0,0.866667,0.432288,0.432288,0.434378,0.666667,0.8,0.666667,0.333333,1.0,6.8,1.25,1.8,0,15
