rank,filter_name,count,filtered_out,expectancy,target_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_decision_score,avg_rr,min_decision_score,min_target_distance_r,require_smt,require_session_window,allowed_displacement_grades,allowed_htf_locations,exclude_no_trade_reasons
25,"min_decision_score=70;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",81,38,0.37111,0.222222,0.37037,0.617284,98.728395,7.565488,70,0,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
26,"min_decision_score=70;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",81,38,0.37111,0.222222,0.37037,0.617284,98.728395,7.565488,70,0,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
27,min_decision_score=70;min_target_distance_r=2,81,38,0.37111,0.222222,0.37037,0.617284,98.728395,7.565488,70,2,false,false,,,
28,"min_decision_score=70;min_target_distance_r=2;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",81,38,0.37111,0.222222,0.37037,0.617284,98.728395,7.565488,70,2,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
29,"min_decision_score=70;min_target_distance_r=2;allowed_htf_locations=discount,premium",81,38,0.37111,0.222222,0.37037,0.617284,98.728395,7.565488,70,2,false,false,,"discount,premium",
30,"min_decision_score=70;min_target_distance_r=2;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",81,38,0.37111,0.222222,0.37037,0.617284,98.728395,7.565488,70,2,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
31,none,119,0,0.22426,0.294118,0.310924,0.571429,96.285714,5.488715,0,0,false,false,,,
32,"allowed_htf_locations=discount,premium",119,0,0.22426,0.294118,0.310924,0.571429,96.285714,5.488715,0,0,false,false,,"discount,premium",
33,min_decision_score=50,119,0,0.22426,0.294118,0.310924,0.571429,96.285714,5.488715,50,0,false,false,,,
34,"min_decision_score=50;allowed_htf_locations=discount,premium",119,0,0.22426,0.294118,0.310924,0.571429,96.285714,5.488715,50,0,false,false,,"discount,premium",
35,min_decision_score=70,119,0,0.22426,0.294118,0.310924,0.571429,96.285714,5.488715,70,0,false,false,,,
36,"min_decision_score=70;allowed_htf_locations=discount,premium",119,0,0.22426,0.294118,0.310924,0.571429,96.285714,5.488715,70,0,false,false,,"discount,premium",
37,"require_smt=true;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",23,96,0.208361,0.26087,0.391304,0.652174,100.0,6.37591,0,0,true,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
38,"require_smt=true;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",23,96,0.208361,0.26087,0.391304,0.652174,100.0,6.37591,0,0,true,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
39,min_target_distance_r=2;require_smt=true,23,96,0.208361,0.26087,0.391304,0.652174,100.0,6.37591,0,2,true,false,,,
40,"min_target_distance_r=2;require_smt=true;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",23,96,0.208361,0.26087,0.391304,0.652174,100.0,6.37591,0,2,true,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
41,"min_target_distance_r=2;require_smt=true;allowed_htf_locations=discount,premium",23,96,0.208361,0.26087,0.391304,0.652174,100.0,6.37591,0,2,true,false,,"discount,premium",
42,"min_target_distance_r=2;require_smt=true;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",23,96,0.208361,0.26087,0.391304,0.652174,100.0,6.37591,0,2,true,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
43,"min_decision_score=50;require_smt=true;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",23,96,0.208361,0.26087,0.391304,0.652174,100.0,6.37591,50,0,true,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
44,"min_decision_score=50;require_smt=true;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",23,96,0.208361,0.26087,0.391304,0.652174,100.0,6.37591,50,0,true,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
45,min_decision_score=50;min_target_distance_r=2;require_smt=true,23,96,0.208361,0.26087,0.391304,0.652174,100.0,6.37591,50,2,true,false,,,
46,"min_decision_score=50;min_target_distance_r=2;require_smt=true;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",23,96,0.208361,0.26087,0.391304,0.652174,100.0,6.37591,50,2,true,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
47,"min_decision_score=50;min_target_distance_r=2;require_smt=true;allowed_htf_locations=discount,premium",23,96,0.208361,0.26087,0.391304,0.652174,100.0,6.37591,50,2,true,false,,"discount,premium",
48,"min_decision_score=50;min_target_distance_r=2;require_smt=true;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",23,96,0.208361,0.26087,0.391304,0.652174,100.0,6.37591,50,2,true,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
49,"min_decision_score=70;require_smt=true;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",23,96,0.208361,0.26087,0.391304,0.652174,100.0,6.37591,70,0,true,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
50,"min_decision_score=70;require_smt=true;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",23,96,0.208361,0.26087,0.391304,0.652174,100.0,6.37591,70,0,true,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
51,min_decision_score=70;min_target_distance_r=2;require_smt=true,23,96,0.208361,0.26087,0.391304,0.652174,100.0,6.37591,70,2,true,false,,,
52,"min_decision_score=70;min_target_distance_r=2;require_smt=true;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",23,96,0.208361,0.26087,0.391304,0.652174,100.0,6.37591,70,2,true,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
53,"min_decision_score=70;min_target_distance_r=2;require_smt=true;allowed_htf_locations=discount,premium",23,96,0.208361,0.26087,0.391304,0.652174,100.0,6.37591,70,2,true,false,,"discount,premium",
54,"min_decision_score=70;min_target_distance_r=2;require_smt=true;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",23,96,0.208361,0.26087,0.391304,0.652174,100.0,6.37591,70,2,true,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
55,require_smt=true,35,84,0.010287,0.314286,0.285714,0.628571,100.0,4.500221,0,0,true,false,,,
56,"require_smt=true;allowed_htf_locations=discount,premium",35,84,0.010287,0.314286,0.285714,0.628571,100.0,4.500221,0,0,true,false,,"discount,premium",
57,min_decision_score=50;require_smt=true,35,84,0.010287,0.314286,0.285714,0.628571,100.0,4.500221,50,0,true,false,,,
58,"min_decision_score=50;require_smt=true;allowed_htf_locations=discount,premium",35,84,0.010287,0.314286,0.285714,0.628571,100.0,4.500221,50,0,true,false,,"discount,premium",
59,min_decision_score=70;require_smt=true,35,84,0.010287,0.314286,0.285714,0.628571,100.0,4.500221,70,0,true,false,,,
60,"min_decision_score=70;require_smt=true;allowed_htf_locations=discount,premium",35,84,0.010287,0.314286,0.285714,0.628571,100.0,4.500221,70,0,true,false,,"discount,premium",
61,min_target_distance_r=3;require_smt=true,11,108,-0.040847,0.090909,0.272727,0.727273,100.0,10.846948,0,3,true,false,,,
62,"min_target_distance_r=3;require_smt=true;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,108,-0.040847,0.090909,0.272727,0.727273,100.0,10.846948,0,3,true,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
