model,session_label,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,custom,358,358,358,0,10.38034,6.136972,0.24581,6.43676,68.715084,0.708962,0.342608,-0.385559,-0.385559,0.728167,0.0,0.728167,0.24581,0.667598,0.539106,0.709497,1.0,2.984252,1.058577,1.481865,173,83
turtle_soup,london_open,721,721,721,0,11.353835,7.463697,0.209431,9.368222,70.263523,0.73818,0.458177,-0.391897,-0.391897,0.850655,-0.000582,0.850073,0.209431,0.726768,0.563107,0.761442,1.0,4.134791,1.171756,1.539409,401,102
turtle_soup,ny_open,1081,1081,1081,0,9.527733,6.008272,0.370028,5.704974,66.706753,0.920475,0.441173,-0.275156,-0.275156,0.716108,0.000221,0.716329,0.370028,0.713228,0.556892,0.620722,1.0,2.731744,1.232166,1.267442,500,346
