model,session_label,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
silver_bullet,ny_am,4,4,4,0,1.177034,0.770302,0.0,2.0,100.0,-1.0,-1.0,-1.195454,-1.195454,0.195455,0.0,0.0,0.0,1.0,1.0,8.75,,,0,0
silver_bullet,ny_pm,1,1,1,0,1.854732,1.854732,0.0,2.0,100.0,1.854732,0.5,0.003964,0.003964,0.496036,0.0,1.0,0.0,0.0,1.0,,27.0,,0,0
