model,model_family,direction,symbol,timeframe,timestamp,setup_timestamp,detected_at,entry_time,exit_time,entry_mode,stop_mode,stop_model,target_mode,target_model,dol_priority,dol_target_type,dol_source,entry_price,entry_low,entry_high,stop_loss,invalidation,target_hint,tp1_price,tp2_price,final_target,rr_to_target,logical_invalidation_model,logical_invalidation_price,partial_close_fraction,be_trigger_r,moved_to_be,tp1_time,exit_reason,risk,risk_bps,commission_bps,slippage_bps,round_trip_cost_bps,commission_points,slippage_points,round_trip_cost_points,execution_cost_r,funding_rows,funding_rate_sum,funding_cost_r,funding_notional_price_mode,total_cost_r,gross_managed_outcome_r,net_managed_outcome_r,same_bar_policy,same_bar_ambiguous,activated_trade,invalidated_before_entry,target_reached_before_entry,session_window,session_date,session_label,session_type,ny_time,htf_mode,htf_bias,htf_location,htf_zone_type,htf_objective_type,htf_objective_level,htf_draw_direction,htf_objective_unreached,htf_context_alignment,bias_alignment,htf_score_modifier,pd_array_type,pd_array_age_bars,p_d_value,is_in_p_d,has_smt_confirmation,smt_detected,smt_direction,smt_pair,smt_strength,smt_timestamp,decision_score,score_bucket,htf_alignment_score,draw_score,pd_location_score,poi_score,displacement_score,smt_score,killzone_score,target_rr_score,no_trade_reasons,pre_model_filter_pass,pre_model_allowed_directions,pre_model_reasons,htf_inside_poi,htf_approaching_poi,swept_level,sweep_extreme,sweep_liquidity_quality,sweep_level_age_bars,range_source,asian_range_window,asian_range_tz,asian_range_date,asian_range_start,asian_range_end,asian_range_high,asian_range_low,asian_range_width_bps,asian_sweep_breach_bps,asian_first_signal_only,displacement_grade,displacement_factor,body_ratio,range_expansion,breach_displacement_grade,turtle_quality,turtle_soup_min_stop_applied,turtle_soup_min_stop_bps,asian_failed_sweep_count_before_reclaim,asian_reject_prior_failed_sweep,time_to_confirmation_bars,ltf_trigger_type,fvg_low,fvg_high,fvg_ce,ict2022_fvg_selection,fvg_fill_depth,ifvg_low,ifvg_high,ifvg_ce,ifvg_fill_depth,ifvg_min_retest_depth,source_fvg_age_bars,source_fvg_touches_before_inversion,silver_bullet_min_retest_depth,ob_low,ob_high,breaker_low,breaker_high,poi_retest_count,trigger_to_retest_bars,rejection_body_level,rejection_wick_extreme,current_wick_extreme,rejection_zone_low,rejection_zone_high,rejection_body_sweep_bps,rejection_min_wick_fraction,body_liquidity_sweep,mitigation_low,mitigation_high,time_to_retest_bars,retest_time,target_distance_r,time_to_entry_bars,bars_to_invalidation,bars_to_1r,bars_to_2r,metadata_json,mfe_r,mae_r,invalidated,invalidated_at,target_hit,tp1_hit,tp2_hit,final_target_hit,logical_invalidated,tp1_r,managed_outcome_r,managed_exit_reason,target_before_invalidation,hit_1r_before_invalidation,hit_2r_before_invalidation
turtle_soup,ict,long,BTCUSDT,1h,1650816000000,1650816000000,1650819600000,1650816000000,1650826800000,close,asian_sweep_extreme,sweep_extreme,dol_hierarchy,draw_on_liquidity,2,clean_equal_highs,local_eqh,39460.5,39460.5,39460.5,38876.2079,38876.2079,39771.259999999995,39771.259999999995,39771.259999999995,39771.259999999995,0.5318572679657921,sweep_extreme,38884.1,1.0,1.0,False,,tp_hit,584.2920999999988,148.07012075366475,4.0,1.0,10.0,0.0,0.0,0.0,0.067536,0,0.0,0.0,entry_proxy,0.067536,0.5318572679657921,0.464321,conservative,False,True,False,False,08:30-12:00,2022-04-24,ny_open,,2022-04-24 12:00,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,True,True,bullish,BTCUSDT:ETHUSDT,1.0,1650816000000,70,high,20,5,5,0,0,20,20,0,target_rr_below_2,True,"long,short",,,,39384.4,38884.1,,,asian_range,00:00-08:00,UTC,2022-04-24,1650758400000,1650787200000,39800.0,39384.4,104.970171,127.029992,False,,,,,,valid,False,,0,True,,asian_range_reclaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5318572679657921,1,,,,"{""asian_failed_sweep_count_before_reclaim"": 0, ""asian_first_signal_only"": false, ""asian_range_date"": ""2022-04-24"", ""asian_range_end"": 1650787200000, ""asian_range_high"": 39800.0, ""asian_range_low"": 39384.4, ""asian_range_start"": 1650758400000, ""asian_range_tz"": ""UTC"", ""asian_range_width_bps"": 104.970171, ""asian_range_window"": ""00:00-08:00"", ""asian_reject_prior_failed_sweep"": true, ""asian_sweep_breach_bps"": 127.029992, ""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 19.322371294217646, ""dealing_range_source"": ""unknown"", ""dol_priority"": 2, ""dol_source"": ""local_eqh"", ""dol_target_type"": ""clean_equal_highs"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 39460.5, ""entry_time"": 1650816000000, ""exit_reason"": null, ""final_target"": 39771.259999999995, ""has_smt_confirmation"": true, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 38884.1, ""ltf_trigger_type"": ""asian_range_reclaim"", ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2022-04-24 12:00"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""range_source"": ""asian_range"", ""risk"": 584.2920999999988, ""risk_bps"": 148.07012075366475, ""rr_to_target"": 0.5318572679657921, ""session_date"": ""2022-04-24"", ""session_filter"": ""configured"", ""session_label"": ""ny_open"", ""session_window"": ""08:30-12:00"", ""smt_detected"": true, ""smt_direction"": ""bullish"", ""smt_pair"": ""BTCUSDT:ETHUSDT"", ""smt_primary_symbol"": ""BTCUSDT"", ""smt_secondary_symbol"": ""ETHUSDT"", ""smt_strength"": 1.0, ""smt_timestamp"": 1650816000000, ""stop_loss"": 38876.2079, ""stop_mode"": ""asian_sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 38884.1, ""sweep_time"": 1650816000000, ""swept_level"": 39384.4, ""target_mode"": ""dol_hierarchy"", ""target_model"": ""draw_on_liquidity"", ""tp1_price"": 39771.259999999995, ""tp2_price"": 39771.259999999995, ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.086193, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 2.485345, ""wick_extension"": 500.3000000000029, ""wick_fraction"": 0.566655}, ""turtle_soup_min_stop_applied"": false, ""turtle_soup_min_stop_bps"": null, ""wick_extension_bps"": 127.02999157026714}",0.5570843761194113,2.3096324595181126,False,,True,False,True,True,False,1.0,0.5318572679657921,final_target_hit,True,False,False
turtle_soup,ict,long,BTCUSDT,1h,1653314400000,1653314400000,1653318000000,1653314400000,1653321600000,close,asian_sweep_extreme,sweep_extreme,dol_hierarchy,draw_on_liquidity,2,clean_equal_highs,local_eqh,30246.2,30246.2,30246.2,29901.15076,29901.15076,30520.0,30520.0,30520.0,30520.0,0.7935099349878268,sweep_extreme,29907.2,1.0,1.0,False,,tp_hit,345.0492400000003,114.08019519807456,4.0,1.0,10.0,0.0,0.0,0.0,0.087658,0,0.0,0.0,entry_proxy,0.087658,0.7935099349878268,0.705852,conservative,False,True,False,False,08:30-12:00,2022-05-23,ny_open,,2022-05-23 10:00,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,True,True,bullish,BTCUSDT:ETHUSDT,1.0,1653314400000,70,high,20,5,5,0,0,20,20,0,target_rr_below_2,True,"long,short",,,,30040.1,29907.2,,,asian_range,00:00-08:00,UTC,2022-05-23,1653264000000,1653292800000,30658.0,30040.1,203.597806,44.240865,False,,,,,,strong,False,,0,True,,asian_range_reclaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7935099349878268,1,,,,"{""asian_failed_sweep_count_before_reclaim"": 0, ""asian_first_signal_only"": false, ""asian_range_date"": ""2022-05-23"", ""asian_range_end"": 1653292800000, ""asian_range_high"": 30658.0, ""asian_range_low"": 30040.1, ""asian_range_start"": 1653264000000, ""asian_range_tz"": ""UTC"", ""asian_range_width_bps"": 203.597806, ""asian_range_window"": ""00:00-08:00"", ""asian_reject_prior_failed_sweep"": true, ""asian_sweep_breach_bps"": 44.240865, ""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 68.60829358091425, ""dealing_range_source"": ""unknown"", ""dol_priority"": 2, ""dol_source"": ""local_eqh"", ""dol_target_type"": ""clean_equal_highs"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 30246.2, ""entry_time"": 1653314400000, ""exit_reason"": null, ""final_target"": 30520.0, ""has_smt_confirmation"": true, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 29907.2, ""ltf_trigger_type"": ""asian_range_reclaim"", ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2022-05-23 10:00"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""range_source"": ""asian_range"", ""risk"": 345.0492400000003, ""risk_bps"": 114.08019519807456, ""rr_to_target"": 0.7935099349878268, ""session_date"": ""2022-05-23"", ""session_filter"": ""configured"", ""session_label"": ""ny_open"", ""session_window"": ""08:30-12:00"", ""smt_detected"": true, ""smt_direction"": ""bullish"", ""smt_pair"": ""BTCUSDT:ETHUSDT"", ""smt_primary_symbol"": ""BTCUSDT"", ""smt_secondary_symbol"": ""ETHUSDT"", ""smt_strength"": 1.0, ""smt_timestamp"": 1653314400000, ""stop_loss"": 29901.15076, ""stop_mode"": ""asian_sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 29907.2, ""sweep_time"": 1653314400000, ""swept_level"": 30040.1, ""target_mode"": ""dol_hierarchy"", ""target_model"": ""draw_on_liquidity"", ""tp1_price"": 30520.0, ""tp2_price"": 30520.0, ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.478857, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.566762, ""wick_extension"": 132.89999999999782, ""wick_fraction"": 0.308783}, ""turtle_soup_min_stop_applied"": false, ""turtle_soup_min_stop_bps"": null, ""wick_extension_bps"": 44.240864710835794}",0.8277079526388706,4.661943321480728,False,,True,False,True,True,False,1.0,0.7935099349878268,final_target_hit,True,False,False
turtle_soup,ict,short,BTCUSDT,1h,1653404400000,1653404400000,1653408000000,1653404400000,1653408000000,close,asian_sweep_extreme,sweep_extreme,dol_hierarchy,draw_on_liquidity,2,clean_equal_lows,local_eql,29373.9,29373.9,29373.9,29677.87478,29677.87478,29259.55,29259.55,29259.55,29259.55,0.37618252408967406,sweep_extreme,29672.0,1.0,1.0,False,,tp_hit,303.9747799999968,103.4846513401342,4.0,1.0,10.0,0.0,0.0,0.0,0.096633,0,0.0,0.0,entry_proxy,0.096633,0.37618252408967406,0.27955,conservative,False,True,False,False,08:30-12:00,2022-05-24,ny_open,,2022-05-24 11:00,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,True,True,bearish,BTCUSDT:ETHUSDT,1.0,1653404400000,70,high,20,5,5,0,0,20,20,0,target_rr_below_2,True,"long,short",,,,29431.6,29672.0,,,asian_range,00:00-08:00,UTC,2022-05-24,1653350400000,1653379200000,29431.6,29040.0,133.945368,81.680914,False,,,,,,valid,False,,0,True,,asian_range_reclaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37618252408967406,1,,,,"{""asian_failed_sweep_count_before_reclaim"": 0, ""asian_first_signal_only"": false, ""asian_range_date"": ""2022-05-24"", ""asian_range_end"": 1653379200000, ""asian_range_high"": 29431.6, ""asian_range_low"": 29040.0, ""asian_range_start"": 1653350400000, ""asian_range_tz"": ""UTC"", ""asian_range_width_bps"": 133.945368, ""asian_range_window"": ""00:00-08:00"", ""asian_reject_prior_failed_sweep"": true, ""asian_sweep_breach_bps"": 81.680914, ""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 19.60477853735342, ""dealing_range_source"": ""unknown"", ""dol_priority"": 2, ""dol_source"": ""local_eql"", ""dol_target_type"": ""clean_equal_lows"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 29373.9, ""entry_time"": 1653404400000, ""exit_reason"": null, ""final_target"": 29259.55, ""has_smt_confirmation"": true, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 29672.0, ""ltf_trigger_type"": ""asian_range_reclaim"", ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2022-05-24 11:00"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""range_source"": ""asian_range"", ""risk"": 303.9747799999968, ""risk_bps"": 103.4846513401342, ""rr_to_target"": 0.37618252408967406, ""session_date"": ""2022-05-24"", ""session_filter"": ""configured"", ""session_label"": ""ny_open"", ""session_window"": ""08:30-12:00"", ""smt_detected"": true, ""smt_direction"": ""bearish"", ""smt_pair"": ""BTCUSDT:ETHUSDT"", ""smt_primary_symbol"": ""BTCUSDT"", ""smt_secondary_symbol"": ""ETHUSDT"", ""smt_strength"": 1.0, ""smt_timestamp"": 1653404400000, ""stop_loss"": 29677.87478, ""stop_mode"": ""asian_sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 29672.0, ""sweep_time"": 1653404400000, ""swept_level"": 29431.6, ""target_mode"": ""dol_hierarchy"", ""target_model"": ""draw_on_liquidity"", ""tp1_price"": 29259.55, ""tp2_price"": 29259.55, ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.081509, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.940569, ""wick_extension"": 240.40000000000146, ""wick_fraction"": 0.339596}, ""turtle_soup_min_stop_applied"": false, ""turtle_soup_min_stop_bps"": null, ""wick_extension_bps"": 81.68091439133498}",0.9668565267158168,2.8712908353778834,False,,True,False,True,True,False,1.0,0.37618252408967406,final_target_hit,True,False,False
turtle_soup,ict,long,BTCUSDT,1h,1660838400000,1660838400000,1660842000000,1660838400000,1660845600000,close,asian_sweep_extreme,sweep_extreme,dol_hierarchy,draw_on_liquidity,2,clean_equal_highs,local_eqh,23326.9,23326.9,23326.9,23245.33462,23245.33462,23607.35,23408.46538,23607.35,23607.35,3.43834602376642,sweep_extreme,23250.0,1.0,1.0,True,1660842000000,sl_hit,81.56538,34.96623211828404,4.0,1.0,10.0,0.0,0.0,0.0,0.28599,1,7.171e-05,0.020508,entry_proxy,0.306498,1.0,0.693502,conservative,False,True,False,False,08:30-12:00,2022-08-18,ny_open,,2022-08-18 12:00,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,True,True,bullish,BTCUSDT:ETHUSDT,0.631317,1660838400000,90,high,20,5,5,0,0,20,20,20,,True,"long,short",,,,23280.0,23250.0,,,asian_range,00:00-08:00,UTC,2022-08-18,1660780800000,1660809600000,23505.2,23280.0,96.269761,12.886598,False,,,,,,valid,False,,0,True,,asian_range_reclaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43834602376642,1,2,1,,"{""asian_failed_sweep_count_before_reclaim"": 0, ""asian_first_signal_only"": false, ""asian_range_date"": ""2022-08-18"", ""asian_range_end"": 1660809600000, ""asian_range_high"": 23505.2, ""asian_range_low"": 23280.0, ""asian_range_start"": 1660780800000, ""asian_range_tz"": ""UTC"", ""asian_range_width_bps"": 96.269761, ""asian_range_window"": ""00:00-08:00"", ""asian_reject_prior_failed_sweep"": true, ""asian_sweep_breach_bps"": 12.886598, ""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 20.14604810996626, ""dealing_range_source"": ""unknown"", ""dol_priority"": 2, ""dol_source"": ""local_eqh"", ""dol_target_type"": ""clean_equal_highs"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 23326.9, ""entry_time"": 1660838400000, ""exit_reason"": null, ""final_target"": 23607.35, ""has_smt_confirmation"": true, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 23250.0, ""ltf_trigger_type"": ""asian_range_reclaim"", ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2022-08-18 12:00"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""range_source"": ""asian_range"", ""risk"": 81.56538, ""risk_bps"": 34.96623211828404, ""rr_to_target"": 3.43834602376642, ""session_date"": ""2022-08-18"", ""session_filter"": ""configured"", ""session_label"": ""ny_open"", ""session_window"": ""08:30-12:00"", ""smt_detected"": true, ""smt_direction"": ""bullish"", ""smt_pair"": ""BTCUSDT:ETHUSDT"", ""smt_primary_symbol"": ""BTCUSDT"", ""smt_secondary_symbol"": ""ETHUSDT"", ""smt_strength"": 0.631317, ""smt_timestamp"": 1660838400000, ""stop_loss"": 23245.33462, ""stop_mode"": ""asian_sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 23250.0, ""sweep_time"": 1660838400000, ""swept_level"": 23280.0, ""target_mode"": ""dol_hierarchy"", ""target_model"": ""draw_on_liquidity"", ""tp1_price"": 23408.46538, ""tp2_price"": 23607.35, ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.224832, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.231911, ""wick_extension"": 30.0, ""wick_fraction"": 0.143816}, ""turtle_soup_min_stop_applied"": false, ""turtle_soup_min_stop_bps"": null, ""wick_extension_bps"": 12.88659793814433}",1.4037818496033487,25.830812043050635,True,,False,True,False,False,False,1.0,1.0,be_after_tp1,False,True,False
turtle_soup,ict,long,BTCUSDT,1h,1662642000000,1662642000000,1662645600000,1662642000000,1662667200000,close,asian_sweep_extreme,sweep_extreme,dol_hierarchy,draw_on_liquidity,2,clean_equal_highs,local_eqh,19215.1,19215.1,19215.1,18999.95698,18999.95698,19385.0,19385.0,19385.0,19385.0,0.7897072375390186,sweep_extreme,19003.8,1.0,1.0,True,1662667200000,tp_hit,215.14301999999952,111.96559997085602,4.0,1.0,10.0,0.0,0.0,0.0,0.089313,1,5.667e-05,0.005061,entry_proxy,0.094374,1.0,0.905626,conservative,False,True,False,False,08:30-12:00,2022-09-08,ny_open,,2022-09-08 09:00,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,True,True,bullish,BTCUSDT:ETHUSDT,0.866594,1662642000000,70,high,20,5,5,0,0,20,20,0,target_rr_below_2,True,"long,short",,,,19047.9,19003.8,,,asian_range,00:00-08:00,UTC,2022-09-08,1662595200000,1662624000000,19373.8,19047.9,169.643717,23.152159,False,,,,,,valid,False,,0,True,,asian_range_reclaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7897072375390186,1,,7,,"{""asian_failed_sweep_count_before_reclaim"": 0, ""asian_first_signal_only"": false, ""asian_range_date"": ""2022-09-08"", ""asian_range_end"": 1662624000000, ""asian_range_high"": 19373.8, ""asian_range_low"": 19047.9, ""asian_range_start"": 1662595200000, ""asian_range_tz"": ""UTC"", ""asian_range_width_bps"": 169.643717, ""asian_range_window"": ""00:00-08:00"", ""asian_reject_prior_failed_sweep"": true, ""asian_sweep_breach_bps"": 23.152159, ""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 87.77870526409583, ""dealing_range_source"": ""unknown"", ""dol_priority"": 2, ""dol_source"": ""local_eqh"", ""dol_target_type"": ""clean_equal_highs"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 19215.1, ""entry_time"": 1662642000000, ""exit_reason"": null, ""final_target"": 19385.0, ""has_smt_confirmation"": true, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 19003.8, ""ltf_trigger_type"": ""asian_range_reclaim"", ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2022-09-08 09:00"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""range_source"": ""asian_range"", ""risk"": 215.14301999999952, ""risk_bps"": 111.96559997085602, ""rr_to_target"": 0.7897072375390186, ""session_date"": ""2022-09-08"", ""session_filter"": ""configured"", ""session_label"": ""ny_open"", ""session_window"": ""08:30-12:00"", ""smt_detected"": true, ""smt_direction"": ""bullish"", ""smt_pair"": ""BTCUSDT:ETHUSDT"", ""smt_primary_symbol"": ""BTCUSDT"", ""smt_secondary_symbol"": ""ETHUSDT"", ""smt_strength"": 0.866594, ""smt_timestamp"": 1662642000000, ""stop_loss"": 18999.95698, ""stop_mode"": ""asian_sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 19003.8, ""sweep_time"": 1662642000000, ""swept_level"": 19047.9, ""target_mode"": ""dol_hierarchy"", ""target_model"": ""draw_on_liquidity"", ""tp1_price"": 19385.0, ""tp2_price"": 19385.0, ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.482958, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.280838, ""wick_extension"": 44.10000000000218, ""wick_fraction"": 0.127383}, ""turtle_soup_min_stop_applied"": false, ""turtle_soup_min_stop_bps"": null, ""wick_extension_bps"": 23.152158505663184}",9.686114845836068,0.6279543719336041,False,,True,True,True,True,False,1.0,1.0,final_target_hit,True,True,False
