phase,start_date,end_date,count,activated_trades,managed_expectancy,gross_managed_expectancy,profit_factor,max_drawdown_r,win_rate,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,session_overtrade_count,passed,failed_gates
overall,2025-03-04,2026-03-30,5,5,0.536548,0.67365,79.564501,0.034147,0.8,0.136978,0.000123,0.137101,0,False,min_managed_expectancy_r;min_phase_trades;min_total_trades
train,2025-03-04,2025-03-16,2,2,0.459076,0.509757,27.888248,0.034147,0.5,0.050373,0.000307,0.050681,0,False,min_phase_trades
validation,2025-05-14,2025-05-26,2,2,0.758219,1.0,inf,0.0,1.0,0.241781,0.0,0.241781,0,False,min_phase_trades
test,2026-03-30,2026-03-30,1,1,0.248151,0.348734,inf,0.0,1.0,0.100583,0.0,0.100583,0,False,min_phase_trades;min_managed_expectancy_r
