model,htf_zone_type,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,Breaker,1,1,0,1,,,0.0,1.523196,90.0,,0.0,0.0,0.0,0.0,,,,,0,1
breaker_block,FVG,3,3,1,2,28.918538,28.918538,0.333333,1.473609,62.0,1.489288,0.333333,0.333333,0.333333,0.0,9.333333,,1.0,1.0,0,3
breaker_block,IFVG,5,5,2,2,15.159227,15.159227,0.4,2.135107,78.2,2.561332,0.4,0.4,0.4,0.0,7.666667,,1.0,1.0,0,5
breaker_block,PD,2,2,1,0,3.912926,3.912926,0.5,2.297618,98.5,1.094762,0.5,0.5,0.5,0.0,8.0,,1.0,1.0,0,2
ifvg_retest,FVG,2,2,2,0,201.900108,201.900108,0.0,10.070868,100.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,2
ifvg_retest,IFVG,5,5,4,0,34.439995,11.153445,0.6,8.498647,99.4,4.20696,0.6,0.6,0.6,0.2,4.75,1.0,1.0,1.0,0,4
ifvg_retest,PD,1,1,1,0,1.773088,1.773088,1.0,0.694567,97.0,0.694567,1.0,1.0,0.0,0.0,1.0,,2.0,,0,1
mitigation_block,Breaker,1,1,1,0,0.0,0.0,0.0,1.366295,70.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
mitigation_block,FVG,6,6,6,0,5.711575,4.425459,0.166667,0.447181,81.666667,-0.678582,0.166667,0.166667,0.0,0.833333,1.0,1.0,1.0,,0,6
mitigation_block,IFVG,3,3,3,0,1.314856,1.848251,1.0,0.473897,78.666667,0.473897,1.0,0.666667,0.0,0.0,1.0,,3.0,,0,3
mitigation_block,Liquidity,1,1,1,0,0.0,0.0,0.0,0.779949,75.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
mitigation_block,PD,1,1,1,0,0.0,0.0,0.0,0.14739,82.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
reclaimed_ob,IFVG,1,1,1,0,6.779888,6.779888,0.0,9.546568,90.0,-1.0,0.0,0.0,0.0,1.0,2.0,1.0,,,0,1
reclaimed_ob,PD,1,1,1,0,3.907334,3.907334,1.0,0.43808,77.0,0.43808,1.0,1.0,1.0,0.0,2.0,,1.0,1.0,0,1
rejection_block,Breaker,3,3,3,0,2.235791,2.965326,0.333333,0.17237,79.0,-0.631984,0.333333,0.0,0.0,0.666667,1.0,1.0,,,0,3
rejection_block,FVG,2,2,2,0,8.566433,8.566433,0.5,5.760704,98.5,0.488862,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.5,0,1
rejection_block,IFVG,6,6,6,0,5.381434,1.935478,0.833333,1.690639,79.666667,0.216645,0.833333,0.5,0.166667,0.166667,1.0,1.0,1.0,1.0,0,5
rejection_block,Liquidity,1,1,1,0,0.365977,0.365977,0.0,6.037478,95.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,0
rejection_block,PD,2,2,2,0,10.582872,10.582872,0.5,0.906661,91.0,0.370921,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0,2
turtle_soup,none,55,55,55,0,4.200093,2.608813,0.109091,9.005426,48.181818,0.082948,0.109091,0.436364,0.272727,0.8,1.0,3.227273,3.125,3.066667,0,6
