model,model_family,direction,symbol,timeframe,timestamp,setup_timestamp,detected_at,entry_time,entry_mode,stop_mode,stop_model,target_mode,target_model,dol_priority,dol_target_type,dol_source,entry_price,entry_low,entry_high,stop_loss,invalidation,target_hint,tp1_price,tp2_price,final_target,rr_to_target,logical_invalidation_model,logical_invalidation_price,partial_close_fraction,be_trigger_r,moved_to_be,exit_reason,risk,risk_bps,commission_bps,slippage_bps,round_trip_cost_bps,execution_cost_r,gross_managed_outcome_r,net_managed_outcome_r,same_bar_policy,same_bar_ambiguous,activated_trade,invalidated_before_entry,target_reached_before_entry,session_window,session_date,session_label,session_type,ny_time,htf_mode,htf_bias,htf_location,htf_zone_type,htf_objective_type,htf_objective_level,htf_draw_direction,htf_objective_unreached,htf_context_alignment,bias_alignment,htf_score_modifier,pd_array_type,pd_array_age_bars,p_d_value,is_in_p_d,has_smt_confirmation,smt_detected,smt_direction,smt_pair,smt_strength,decision_score,score_bucket,htf_alignment_score,draw_score,pd_location_score,poi_score,displacement_score,smt_score,killzone_score,target_rr_score,no_trade_reasons,pre_model_filter_pass,pre_model_allowed_directions,pre_model_reasons,htf_inside_poi,htf_approaching_poi,swept_level,sweep_extreme,sweep_liquidity_quality,sweep_level_age_bars,displacement_grade,displacement_factor,body_ratio,range_expansion,breach_displacement_grade,turtle_quality,time_to_confirmation_bars,ltf_trigger_type,fvg_low,fvg_high,fvg_ce,fvg_fill_depth,ifvg_low,ifvg_high,ifvg_ce,ifvg_fill_depth,ifvg_min_retest_depth,source_fvg_age_bars,source_fvg_touches_before_inversion,silver_bullet_min_retest_depth,ob_low,ob_high,breaker_low,breaker_high,poi_retest_count,trigger_to_retest_bars,rejection_body_level,rejection_wick_extreme,current_wick_extreme,rejection_zone_low,rejection_zone_high,rejection_body_sweep_bps,rejection_min_wick_fraction,body_liquidity_sweep,mitigation_low,mitigation_high,time_to_retest_bars,retest_time,target_distance_r,time_to_entry_bars,bars_to_invalidation,bars_to_1r,bars_to_2r,metadata_json,mfe_r,mae_r,invalidated,invalidated_at,target_hit,tp1_hit,tp2_hit,final_target_hit,logical_invalidated,tp1_r,managed_outcome_r,managed_exit_reason,target_before_invalidation,hit_1r_before_invalidation,hit_2r_before_invalidation
turtle_soup,ict,long,BTCUSDT,30m,1746244800000,1746244800000,1746246600000,1746244800000,close,sweep_extreme,sweep_extreme,fixed_r,fixed_r,99,fixed_r,fixed_r,96443.0,96443.0,96443.0,96238.9114,96238.9114,96851.1772,96647.0886,96851.1772,96851.1772,2.0,sweep_extreme,96258.2,0.5,1.0,False,logical_invalidation,204.08860000000277,21.161577304729505,4.0,1.0,10.0,0.472555,-1.0,-1.472555,conservative,False,True,False,False,00:00-08:00,2025-05-03,london_open,,2025-05-03 00:00,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,False,False,,,,60,medium,20,5,5,0,0,0,20,10,target_rr_below_3,True,"long,short",,,,96385.8,96258.2,weak,5,,,,,,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,4,,,"{""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 5.934484125254663, ""dealing_range_source"": ""unknown"", ""dol_priority"": 99, ""dol_source"": ""fixed_r"", ""dol_target_type"": ""fixed_r"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 96443.0, ""exit_reason"": null, ""final_target"": 96851.1772, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 96258.2, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-03 00:00"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 204.08860000000277, ""risk_bps"": 21.161577304729505, ""rr_to_target"": 2.0, ""session_date"": ""2025-05-03"", ""session_filter"": ""configured"", ""session_label"": ""london_open"", ""session_window"": ""00:00-08:00"", ""smt_detected"": false, ""stop_loss"": 96238.9114, ""stop_mode"": ""sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 96258.2, ""sweep_level_age_bars"": 5, ""sweep_liquidity_quality"": ""weak"", ""sweep_swing_significance"": ""short"", ""swept_level"": 96385.8, ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""tp1_price"": 96647.0886, ""tp2_price"": 96851.1772, ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.251208, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.574956, ""wick_extension"": 127.60000000000582, ""wick_fraction"": 0.560386}, ""wick_extension_bps"": 13.238464587107833}",0.562010812950824,3.127073241719471,True,,False,False,False,False,True,1.0,-1.0,logical_invalidation,False,False,False
turtle_soup,ict,long,BTCUSDT,30m,1746248400000,1746248400000,1746250200000,1746248400000,close,sweep_extreme,sweep_extreme,fixed_r,fixed_r,99,fixed_r,fixed_r,96501.8,96501.8,96501.8,96349.69964,96349.69964,96806.00072,96653.90036,96806.00072,96806.00072,2.0,sweep_extreme,96369.0,0.5,1.0,False,logical_invalidation,152.10035999999673,15.761401341736292,4.0,1.0,10.0,0.634461,-1.0,-1.634461,conservative,False,True,False,False,00:00-08:00,2025-05-03,london_open,,2025-05-03 01:00,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,False,False,,,,60,medium,20,5,5,0,0,0,20,10,target_rr_below_3,True,"long,short",,,,96385.8,96369.0,weak,7,,,,,,valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,2,,,"{""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 12.034967806461117, ""dealing_range_source"": ""unknown"", ""dol_priority"": 99, ""dol_source"": ""fixed_r"", ""dol_target_type"": ""fixed_r"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 96501.8, ""exit_reason"": null, ""final_target"": 96806.00072, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 96369.0, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-03 01:00"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 152.10035999999673, ""risk_bps"": 15.761401341736292, ""rr_to_target"": 2.0, ""session_date"": ""2025-05-03"", ""session_filter"": ""configured"", ""session_label"": ""london_open"", ""session_window"": ""00:00-08:00"", ""smt_detected"": false, ""stop_loss"": 96349.69964, ""stop_mode"": ""sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 96369.0, ""sweep_level_age_bars"": 7, ""sweep_liquidity_quality"": ""weak"", ""sweep_swing_significance"": ""short"", ""swept_level"": 96385.8, ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""tp1_price"": 96653.90036, ""tp2_price"": 96806.00072, ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.833333, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.075203, ""wick_extension"": 16.80000000000291, ""wick_fraction"": 0.12069}, ""wick_extension_bps"": 1.742995337487774}",0.3675204976503368,4.58250065943312,True,,False,False,False,False,True,1.0,-1.0,logical_invalidation,False,False,False
turtle_soup,ict,long,BTCUSDT,30m,1746257400000,1746257400000,1746259200000,1746257400000,close,sweep_extreme,sweep_extreme,fixed_r,fixed_r,99,fixed_r,fixed_r,96290.8,96290.8,96290.8,96141.84184000001,96141.84184000001,96588.71631999999,96439.75816,96588.71631999999,96588.71631999999,2.0,sweep_extreme,96161.1,0.5,1.0,False,sl_hit,148.95815999999468,15.469614958022436,4.0,1.0,10.0,0.646429,-1.0,-1.646429,conservative,False,True,False,False,00:00-08:00,2025-05-03,london_open,,2025-05-03 03:30,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,False,False,,,,60,medium,20,5,5,0,0,0,20,10,target_rr_below_3,True,"long,short",,,,96255.0,96161.1,medium,8,,,,,,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,1,,,"{""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 3.7192873097504453, ""dealing_range_source"": ""unknown"", ""dol_priority"": 99, ""dol_source"": ""fixed_r"", ""dol_target_type"": ""fixed_r"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 96290.8, ""exit_reason"": null, ""final_target"": 96588.71631999999, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 96161.1, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-03 03:30"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 148.95815999999468, ""risk_bps"": 15.469614958022436, ""rr_to_target"": 2.0, ""session_date"": ""2025-05-03"", ""session_filter"": ""configured"", ""session_label"": ""london_open"", ""session_window"": ""00:00-08:00"", ""smt_detected"": false, ""stop_loss"": 96141.84184000001, ""stop_mode"": ""sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 96161.1, ""sweep_level_age_bars"": 8, ""sweep_liquidity_quality"": ""medium"", ""sweep_swing_significance"": ""intermediate"", ""swept_level"": 96255.0, ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""tp1_price"": 96439.75816, ""tp2_price"": 96588.71631999999, ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.189418, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.481292, ""wick_extension"": 93.89999999999418, ""wick_fraction"": 0.496825}, ""wick_extension_bps"": 9.7553373850703}",1.1090362555499007,3.262661139208603,True,,False,False,False,False,False,1.0,-1.0,sl_hit,False,False,False
turtle_soup,ict,long,BTCUSDT,30m,1746259200000,1746259200000,1746261000000,1746259200000,close,sweep_extreme,sweep_extreme,fixed_r,fixed_r,99,fixed_r,fixed_r,96313.4,96313.4,96313.4,96074.13732,96074.13732,96791.92536,96552.66268,96791.92536,96791.92536,2.0,sweep_extreme,96093.4,0.5,1.0,False,logical_invalidation,239.26267999999982,24.842096738356226,4.0,1.0,10.0,0.402543,-1.0,-1.402543,conservative,False,True,False,False,00:00-08:00,2025-05-03,london_open,,2025-05-03 04:00,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,False,False,,,,60,medium,20,5,5,0,0,0,20,10,target_rr_below_3,True,"long,short",,,,96255.0,96093.4,medium,9,,,,,,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,5,,,"{""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 6.067217287413036, ""dealing_range_source"": ""unknown"", ""dol_priority"": 99, ""dol_source"": ""fixed_r"", ""dol_target_type"": ""fixed_r"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 96313.4, ""exit_reason"": null, ""final_target"": 96791.92536, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 96093.4, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-03 04:00"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 239.26267999999982, ""risk_bps"": 24.842096738356226, ""rr_to_target"": 2.0, ""session_date"": ""2025-05-03"", ""session_filter"": ""configured"", ""session_label"": ""london_open"", ""session_window"": ""00:00-08:00"", ""smt_detected"": false, ""stop_loss"": 96074.13732, ""stop_mode"": ""sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 96093.4, ""sweep_level_age_bars"": 9, ""sweep_liquidity_quality"": ""medium"", ""sweep_swing_significance"": ""intermediate"", ""swept_level"": 96255.0, ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""tp1_price"": 96552.66268, ""tp2_price"": 96791.92536, ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.265334, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.823817, ""wick_extension"": 161.60000000000582, ""wick_fraction"": 0.734212}, ""wick_extension_bps"": 16.78873824736438}",0.5959976708444708,2.1256971626331014,True,,False,False,False,False,True,1.0,-1.0,logical_invalidation,False,False,False
turtle_soup,ict,long,BTCUSDT,30m,1746262800000,1746262800000,1746264600000,1746262800000,close,sweep_extreme,sweep_extreme,fixed_r,fixed_r,99,fixed_r,fixed_r,96281.1,96281.1,96281.1,96164.54378,96164.54378,96514.21244,96397.65622,96514.21244,96514.21244,2.0,sweep_extreme,96183.8,0.5,1.0,False,sl_hit,116.55621999999858,12.105825546238936,4.0,1.0,10.0,0.826049,-1.0,-1.826049,conservative,False,True,False,False,00:00-08:00,2025-05-03,london_open,,2025-05-03 05:00,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,False,False,,,,60,medium,20,5,5,0,0,0,20,10,target_rr_below_3,True,"long,short",,,,96255.0,96183.8,medium,11,,,,,,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,1,,,"{""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 2.711547452081016, ""dealing_range_source"": ""unknown"", ""dol_priority"": 99, ""dol_source"": ""fixed_r"", ""dol_target_type"": ""fixed_r"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 96281.1, ""exit_reason"": null, ""final_target"": 96514.21244, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 96183.8, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-03 05:00"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 116.55621999999858, ""risk_bps"": 12.105825546238936, ""rr_to_target"": 2.0, ""session_date"": ""2025-05-03"", ""session_filter"": ""configured"", ""session_label"": ""london_open"", ""session_window"": ""00:00-08:00"", ""smt_detected"": false, ""stop_loss"": 96164.54378, ""stop_mode"": ""sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 96183.8, ""sweep_level_age_bars"": 11, ""sweep_liquidity_quality"": ""medium"", ""sweep_swing_significance"": ""intermediate"", ""swept_level"": 96255.0, ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""tp1_price"": 96397.65622, ""tp2_price"": 96514.21244, ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.146877, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.383022, ""wick_extension"": 71.19999999999709, ""wick_fraction"": 0.400675}, ""wick_extension_bps"": 7.397018336709479}",1.5005634190950625,4.086440002944577,True,,False,False,False,False,False,1.0,-1.0,sl_hit,False,False,False
turtle_soup,ict,long,BTCUSDT,30m,1746275400000,1746275400000,1746277200000,1746275400000,close,sweep_extreme,sweep_extreme,fixed_r,fixed_r,99,fixed_r,fixed_r,96074.1,96074.1,96074.1,95930.98518,95930.98518,96360.32964000001,96217.21482000001,96360.32964000001,96360.32964000001,2.0,sweep_extreme,95950.2,0.5,1.0,True,tp_hit,143.1148200000025,14.896295671778606,4.0,1.0,10.0,0.671308,1.5,0.828692,conservative,False,True,False,False,08:30-12:00,2025-05-03,ny_open,,2025-05-03 08:30,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,False,False,,,,60,medium,20,5,5,0,0,0,20,10,target_rr_below_3,True,"long,short",,,,96064.1,95950.2,medium,12,,,,,,valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,,2,3,"{""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 1.0409716012537462, ""dealing_range_source"": ""unknown"", ""dol_priority"": 99, ""dol_source"": ""fixed_r"", ""dol_target_type"": ""fixed_r"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 96074.1, ""exit_reason"": null, ""final_target"": 96360.32964000001, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 95950.2, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-03 08:30"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 143.1148200000025, ""risk_bps"": 14.896295671778606, ""rr_to_target"": 2.0, ""session_date"": ""2025-05-03"", ""session_filter"": ""configured"", ""session_label"": ""ny_open"", ""session_window"": ""08:30-12:00"", ""smt_detected"": false, ""stop_loss"": 95930.98518, ""stop_mode"": ""sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 95950.2, ""sweep_level_age_bars"": 12, ""sweep_liquidity_quality"": ""medium"", ""sweep_swing_significance"": ""intermediate"", ""swept_level"": 96064.1, ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""tp1_price"": 96217.21482000001, ""tp2_price"": 96360.32964000001, ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.060314, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.59391, ""wick_extension"": 113.90000000000873, ""wick_fraction"": 0.686972}, ""wick_extension_bps"": 11.856666538281077}",2.6684867437207935,2.613985050604817,False,,True,True,True,True,False,1.0,1.5,final_target_hit,True,True,True
turtle_soup,ict,long,BTCUSDT,30m,1746277200000,1746277200000,1746279000000,1746277200000,close,sweep_extreme,sweep_extreme,fixed_r,fixed_r,99,fixed_r,fixed_r,96211.9,96211.9,96211.9,96038.25762,96038.25762,96559.18475999997,96385.54237999998,96559.18475999997,96559.18475999997,2.0,sweep_extreme,96057.5,0.5,1.0,True,sl_hit,173.64237999999023,18.04791091330597,4.0,1.0,10.0,0.554081,0.5,-0.054081,conservative,False,True,False,False,08:30-12:00,2025-05-03,ny_open,,2025-05-03 09:00,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,False,False,,,,60,medium,20,5,5,0,0,0,20,10,target_rr_below_3,True,"long,short",,,,96093.4,96057.5,weak,10,,,,,,valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,6,2,,"{""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 12.33175223272358, ""dealing_range_source"": ""unknown"", ""dol_priority"": 99, ""dol_source"": ""fixed_r"", ""dol_target_type"": ""fixed_r"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 96211.9, ""exit_reason"": null, ""final_target"": 96559.18475999997, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 96057.5, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-03 09:00"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""risk"": 173.64237999999023, ""risk_bps"": 18.04791091330597, ""rr_to_target"": 2.0, ""session_date"": ""2025-05-03"", ""session_filter"": ""configured"", ""session_label"": ""ny_open"", ""session_window"": ""08:30-12:00"", ""smt_detected"": false, ""stop_loss"": 96038.25762, ""stop_mode"": ""sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 96057.5, ""sweep_level_age_bars"": 10, ""sweep_liquidity_quality"": ""weak"", ""sweep_swing_significance"": ""short"", ""swept_level"": 96093.4, ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""tp1_price"": 96385.54237999998, ""tp2_price"": 96559.18475999997, ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.748579, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.186697, ""wick_extension"": 35.89999999999418, ""wick_fraction"": 0.226785}, ""wick_extension_bps"": 3.7359485667063694}",1.4057628097473645,2.9480130369096704,True,,False,True,False,False,False,1.0,0.5,be_after_tp1,False,True,False
