model,score_bucket,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,high,13,13,13,0,2.306213,2.286835,0.307692,2.0,80.0,0.043583,-0.133523,-0.41482,-0.41482,0.281298,0.307692,0.384615,0.307692,0.615385,1.0,2.375,1.6,3.5,0,13
turtle_soup,medium,85,85,85,0,3.496588,2.067388,0.223529,2.0,60.0,-0.207443,0.067307,-0.214811,-0.214811,0.282118,0.223529,0.447059,0.223529,0.717647,1.0,3.213115,3.657895,6.263158,9,85
