model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,long,46,46,46,0,3.630815,2.380103,0.23913,2.0,62.173913,-0.282609,0.065217,-0.219857,-0.219857,0.285075,0.23913,0.413043,0.23913,0.76087,1.0,2.942857,2.157895,8.181818,3,46
turtle_soup,short,52,52,52,0,3.080255,1.913891,0.230769,2.0,63.076923,-0.078193,0.018948,-0.26035,-0.26035,0.279298,0.230769,0.461538,0.230769,0.653846,1.0,3.294118,4.416667,3.583333,6,52
