model,turtle_quality,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,strong,111,111,111,0,3.932308,2.42225,0.531532,1.798643,75.225225,0.256424,0.452086,0.308274,0.308274,0.142945,0.000868,0.143812,0.531532,0.576577,0.18018,0.396396,1.0,4.227273,3.796875,4.2,11,90
turtle_soup,valid,104,104,104,0,3.800988,2.489194,0.432692,2.616346,76.634615,0.149352,0.305819,0.132188,0.132188,0.172683,0.000948,0.173632,0.432692,0.557692,0.269231,0.528846,1.0,4.272727,2.293103,2.107143,16,75
