model,no_trade_reasons,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
ict2022_mss_fvg,target_rr_below_2,35,35,35,0,1.106264,0.929863,0.542857,0.440395,78.0,-0.278676,-0.245279,-0.32061,-0.32061,0.075105,0.000227,0.075332,0.542857,0.171429,0.0,0.457143,1.2,2.75,2.333333,,5,35
ict2022_mss_fvg,target_rr_below_3,12,12,12,0,0.875711,0.432338,0.083333,2.0,88.0,-0.606112,-0.682631,-0.72952,-0.72952,0.046721,0.000168,0.046889,0.083333,0.083333,0.083333,0.833333,1.333333,8.2,6.0,14.0,0,12
