scope,model,threshold,filter_name,filtered_out,count,activated_trades,invalidated_before_entry,avg_decision_score,avg_mfe_r,median_mfe_r,avg_rr,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,profit_factor,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,same_bar_ambiguous_count,no_trade_reason_count,top_no_trade_reasons
all,ALL,0,none,0,70,60,0,78.0,2.28838,1.079346,2.0,-0.25706,-0.124419,-0.482389,-0.482389,0.306181,0.000651,0.306832,0.339243,0.157143,0.357143,0.157143,0.614286,2,0,
model,silver_bullet,0,none,0,70,60,0,78.0,2.28838,1.079346,2.0,-0.25706,-0.124419,-0.482389,-0.482389,0.306181,0.000651,0.306832,0.339243,0.157143,0.357143,0.157143,0.614286,2,0,
