rank,filter_name,count,filtered_out,expectancy,target_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_decision_score,avg_rr,min_decision_score,min_target_distance_r,require_smt,require_session_window,allowed_displacement_grades,allowed_htf_locations,exclude_no_trade_reasons
82,"min_target_distance_r=3;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",196,702,0.417222,0.091837,0.285714,0.780612,83.530612,9.233123,0,3,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
83,"min_decision_score=50;min_target_distance_r=3;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",196,702,0.417222,0.091837,0.285714,0.780612,83.530612,9.233123,50,3,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
84,"min_decision_score=70;min_target_distance_r=3;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",196,702,0.417222,0.091837,0.285714,0.780612,83.530612,9.233123,70,3,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
85,"min_decision_score=70;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",223,675,0.378666,0.107623,0.282511,0.757848,84.233184,8.396576,70,0,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
86,"min_decision_score=70;min_target_distance_r=2;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",223,675,0.378666,0.107623,0.282511,0.757848,84.233184,8.396576,70,2,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
87,"exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",224,674,0.372342,0.107143,0.28125,0.758929,84.125,8.368999,0,0,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
88,"min_target_distance_r=2;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",224,674,0.372342,0.107143,0.28125,0.758929,84.125,8.368999,0,2,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
89,"min_decision_score=50;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",224,674,0.372342,0.107143,0.28125,0.758929,84.125,8.368999,50,0,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
90,"min_decision_score=50;min_target_distance_r=2;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",224,674,0.372342,0.107143,0.28125,0.758929,84.125,8.368999,50,2,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
91,"min_decision_score=50;allowed_htf_locations=discount,premium",815,83,0.358366,0.328834,0.27362,0.57546,78.170552,3.991378,50,0,false,false,,"discount,premium",
92,"allowed_htf_locations=discount,premium",859,39,0.339955,0.336438,0.268917,0.572759,76.471478,3.847761,0,0,false,false,,"discount,premium",
93,require_smt=true,39,859,0.331553,0.461538,0.282051,0.384615,95.897436,2.298129,0,0,true,false,,,
94,min_decision_score=50;require_smt=true,39,859,0.331553,0.461538,0.282051,0.384615,95.897436,2.298129,50,0,true,false,,,
