scope,model,threshold,filter_name,filtered_out,count,activated_trades,invalidated_before_entry,avg_decision_score,avg_mfe_r,median_mfe_r,avg_rr,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,profit_factor,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,same_bar_ambiguous_count,no_trade_reason_count,top_no_trade_reasons
all,ALL,0,none,0,11,11,0,60.0,2.909467,2.575092,2.0,-0.454545,0.0,-1.351898,-1.351898,1.351898,0.047747,0.181818,0.545455,0.181818,0.818182,3,11,target_rr_below_3:11
model,turtle_soup,0,none,0,11,11,0,60.0,2.909467,2.575092,2.0,-0.454545,0.0,-1.351898,-1.351898,1.351898,0.047747,0.181818,0.545455,0.181818,0.818182,3,11,target_rr_below_3:11
