model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,long,7,7,7,0,3.591782,3.871188,0.285714,2.0,60.0,-0.142857,0.142857,-0.840377,-0.840377,0.983234,0.285714,0.571429,0.285714,0.714286,1.0,4.4,4.0,3.0,2,7
turtle_soup,short,4,4,4,0,1.715414,1.853234,0.0,2.0,60.0,-1.0,-0.25,-2.247058,-2.247058,1.997058,0.0,0.5,0.0,1.0,1.0,3.25,2.0,,1,4
