model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
ifvg_retest,long,8,8,5,0,29.162314,13.739913,0.25,14.788138,100.0,0.395611,0.216928,0.216928,0.25,0.25,0.25,0.375,1.875,1.333333,1.0,1.0,0,3
ifvg_retest,short,14,14,9,0,6.400887,5.909981,0.071429,8.370642,100.0,-0.879631,-0.590742,-0.590742,0.071429,0.142857,0.142857,0.571429,2.307692,1.5,1.0,1.0,0,6
reclaimed_ob,long,6,6,2,1,2.662539,2.662539,0.0,41.154289,92.666667,-1.0,-0.35,-0.35,0.0,0.166667,0.166667,0.333333,2.166667,2.0,1.0,1.0,0,2
reclaimed_ob,short,4,4,3,0,41.420396,6.556014,0.5,3.502207,96.25,0.122936,0.536342,0.536342,0.5,0.5,0.5,0.25,1.25,2.0,1.0,1.0,0,2
rejection_block,long,24,24,24,0,3.714944,2.41612,0.291667,3.249717,95.083333,0.221702,0.183893,0.183893,0.291667,0.625,0.416667,0.625,1.0,2.066667,1.666667,2.3,0,13
rejection_block,short,63,63,63,0,5.240294,2.813013,0.333333,3.191946,95.873016,0.231644,0.245436,0.245436,0.333333,0.460317,0.31746,0.666667,1.0,2.02381,1.862069,2.75,0,41
