model,no_trade_reasons,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,none,3,3,3,0,8.291571,6.642168,0.333333,5.664978,90.0,0.358691,1.0,0.714566,0.714566,0.285434,0.0,0.285434,0.333333,1.0,1.0,0.666667,1.0,12.5,1.333333,1.666667,1,0
turtle_soup,target_rr_below_2,14,14,14,0,3.201757,3.132447,0.857143,0.880011,70.0,0.532973,0.4812,0.33336,0.33336,0.147841,0.0,0.147841,0.857143,0.571429,0.285714,0.142857,1.0,3.0,3.125,1.5,0,14
turtle_soup,target_rr_below_3,2,2,2,0,2.904596,2.904596,0.5,2.565486,80.0,0.888347,1.0,0.83539,0.83539,0.16461,0.0,0.16461,0.5,1.0,0.5,0.5,1.0,3.0,1.5,1.0,0,2
