model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,long,2,2,2,0,1.475488,1.475488,0.0,2.0,80.0,-1.0,-0.25,-0.505272,-0.505272,0.255271,0.0,0.5,0.0,1.0,1.0,4.5,2.0,,0,2
turtle_soup,short,4,4,4,0,2.74129,2.447286,0.75,2.0,80.0,1.641644,1.066051,0.872402,0.872402,0.193649,0.75,0.75,0.75,0.0,1.0,,6.333333,8.0,0,4
