model,timeframe,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count
breaker_block,15m,1,1,1,0,10.788025,10.788025,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0
breaker_block,1h,2,2,0,2,,,0.0,34.001716,,0.0,0.0,0.0,0.0,14.0,,,,0
breaker_block,1m,22,22,13,7,1.59946,1.260097,0.409091,0.749522,0.337175,0.409091,0.136364,0.045455,0.090909,7.777778,2.0,1.666667,5.0,0
breaker_block,30m,30,30,23,5,16.146077,5.651552,0.533333,1.981192,0.391997,0.533333,0.566667,0.466667,0.233333,3.428571,1.857143,1.0,1.0,0
breaker_block,5m,43,43,25,15,7.448329,5.003737,0.395349,2.032326,0.577823,0.395349,0.395349,0.232558,0.162791,6.638889,1.428571,1.0,1.0,0
ict2022_mss_fvg,1m,37,37,37,0,1.189701,0.946503,0.72973,0.671799,0.142931,0.72973,0.162162,0.0,0.135135,1.0,3.6,2.833333,,0
ict2022_mss_fvg,30m,14,14,14,0,4.606614,3.382093,0.642857,0.948887,0.303546,0.642857,0.571429,0.357143,0.214286,1.0,3.666667,4.25,1.2,0
ict2022_mss_fvg,5m,21,21,21,0,2.752589,1.947157,0.904762,0.455474,0.38782,0.904762,0.428571,0.238095,0.047619,1.0,1.0,1.111111,3.4,0
ifvg_retest,15m,83,83,83,0,18.145687,9.833562,0.325301,2.0,0.010827,0.325301,0.421687,0.325301,0.662651,1.795181,1.254545,1.085714,1.185185,0
ifvg_retest,1h,24,24,24,0,24.5939,20.897094,0.083333,2.0,-0.75,0.083333,0.125,0.083333,0.916667,1.833333,1.045455,1.0,1.0,0
ifvg_retest,1m,85,85,85,0,2.218253,1.656872,0.223529,2.0,-0.187202,0.223529,0.4,0.223529,0.705882,2.8,4.566667,3.294118,6.210526,0
ifvg_retest,30m,63,63,63,0,23.472342,16.13671,0.301587,2.0,-0.095238,0.301587,0.349206,0.301587,0.698413,2.063492,1.159091,1.045455,1.052632,0
ifvg_retest,5m,96,96,96,0,11.889077,8.090928,0.333333,2.0,0.028986,0.333333,0.46875,0.333333,0.65625,2.322917,1.492063,1.133333,1.46875,0
reclaimed_ob,15m,1,1,1,0,1.952521,1.952521,0.0,2.0,-1.0,0.0,1.0,0.0,1.0,2.0,5.0,1.0,,0
reclaimed_ob,1h,1,1,1,0,1.274332,1.274332,0.0,5.061631,-1.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,,0
reclaimed_ob,1m,10,10,9,1,2.597936,2.399652,0.8,0.903765,0.495267,0.8,0.5,0.1,0.1,3.9,4.0,1.0,6.0,0
reclaimed_ob,30m,2,2,2,0,4.817824,4.817824,1.0,0.653441,0.653441,1.0,0.5,0.5,0.0,1.0,,1.0,1.0,0
reclaimed_ob,5m,6,6,6,0,7.353763,5.256973,0.833333,2.566582,1.413021,0.833333,1.0,1.0,0.166667,1.333333,8.0,1.0,1.0,0
silver_bullet,15m,6,6,6,0,2.119491,1.237256,0.166667,2.0,0.643167,0.166667,0.666667,0.166667,0.333333,1.166667,7.5,3.0,4.0,0
silver_bullet,1m,18,18,18,0,0.781633,0.616599,0.055556,2.0,0.300249,0.055556,0.166667,0.055556,0.277778,1.0,10.0,5.0,1.0,0
silver_bullet,30m,5,5,5,0,1.571444,1.362804,0.4,2.0,0.2,0.4,0.8,0.4,0.6,1.0,15.0,3.0,4.0,0
silver_bullet,5m,6,6,6,0,0.9371,0.628841,0.166667,2.0,-0.5,0.166667,0.166667,0.166667,0.833333,1.166667,3.8,5.0,10.0,0
turtle_soup,15m,567,567,567,0,3.968809,2.26823,0.13933,6.915624,0.087835,0.13933,0.45679,0.266314,0.784832,1.0,3.970787,2.312741,4.178808,0
turtle_soup,1h,142,142,142,0,3.771187,1.957625,0.084507,8.016176,0.093757,0.084507,0.380282,0.260563,0.823944,1.0,3.752137,2.444444,3.540541,0
turtle_soup,1m,142,142,142,0,1.542625,1.315869,0.140845,2.467588,0.214868,0.140845,0.464789,0.197183,0.542254,1.0,6.38961,5.69697,10.107143,0
turtle_soup,30m,339,339,339,0,5.212144,3.642656,0.182891,7.800009,0.335351,0.182891,0.480826,0.327434,0.746313,1.0,4.189723,2.159509,3.63964,0
turtle_soup,5m,360,360,360,0,3.511445,2.415115,0.138889,5.572192,0.281939,0.138889,0.491667,0.3,0.708333,1.0,4.462745,3.084746,5.046296,0
