model,model_family,direction,symbol,timeframe,timestamp,setup_timestamp,detected_at,entry_time,entry_mode,stop_mode,target_mode,entry_price,entry_low,entry_high,stop_loss,invalidation,target_hint,risk,risk_bps,same_bar_policy,same_bar_ambiguous,activated_trade,invalidated_before_entry,session_window,ny_time,swept_level,sweep_extreme,sweep_liquidity_quality,sweep_level_age_bars,turtle_quality,fvg_low,fvg_high,fvg_ce,ifvg_low,ifvg_high,ifvg_ce,ob_low,ob_high,breaker_low,breaker_high,time_to_retest_bars,retest_time,target_distance_r,time_to_entry_bars,bars_to_invalidation,bars_to_1r,bars_to_2r,metadata_json,mfe_r,mae_r,invalidated,target_hit,target_before_invalidation,hit_1r_before_invalidation,hit_2r_before_invalidation
ifvg_retest,ict,long,BTCUSDT,1m,1777089540000,1777089540000,1777089720000,1777089660000,edge,ce,fixed_r,77605.5,77605.5,77605.5,77585.82890000001,77585.82890000001,77644.84219999998,19.671099999992293,2.53475591291755,conservative,False,True,False,,,,,,,,,,,77597.2,77605.5,77601.35,,,,,2,1777089660000,2.0,2,7,,,"{""breach_close"": 77629.0, ""breach_displacement_grade"": ""weak"", ""breach_time"": 1777089540000, ""entry_mode"": ""edge"", ""entry_price"": 77605.5, ""entry_time"": 1777089660000, ""ifvg_ce"": 77601.35, ""ifvg_high"": 77605.5, ""ifvg_low"": 77597.2, ""model_family"": ""ict"", ""retest_depth"": 0.39759036144599436, ""retest_time"": 1777089660000, ""risk"": 19.671099999992293, ""risk_bps"": 2.53475591291755, ""source_fvg_direction"": ""bearish"", ""stop_loss"": 77585.82890000001, ""stop_mode"": ""ce"", ""target_mode"": ""fixed_r"", ""time_to_retest_bars"": 2}",2.424877103975669,1.2556491502766376,True,False,False,False,False
turtle_soup,ict,long,BTCUSDT,1m,1777090140000,1777090140000,1777090200000,1777090140000,close,sweep_extreme,opposite_range,77636.9,77636.9,77636.9,77565.27262,77565.27262,77678.0,71.62737999999081,9.225945394521267,conservative,False,True,False,,,77590.0,77580.8,medium,13,valid,,,,,,,,,,,,,0.5738029228489314,1,,,,"{""close_back_distance_bps"": 6.044593375434229, ""entry_mode"": ""close"", ""entry_price"": 77636.9, ""model_family"": ""ict"", ""risk"": 71.62737999999081, ""risk_bps"": 9.225945394521267, ""stop_loss"": 77565.27262, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 77580.8, ""sweep_level_age_bars"": 13, ""sweep_liquidity_quality"": ""medium"", ""sweep_swing_significance"": ""intermediate"", ""swept_level"": 77590.0, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.836007, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.77539, ""wick_extension"": 9.19999999999709, ""wick_fraction"": 0.163993}, ""wick_extension_bps"": 1.1857198092533947}",0.22756660930505906,0.6422125170571072,False,False,False,False,False
ict2022_mss_fvg,ict,long,BTCUSDT,1m,1777090200000,1777090200000,1777090260000,1777090200000,edge,sweep_extreme,nearest_liquidity,77636.9,77636.9,77636.9,77565.27262,77565.27262,77641.2,71.62737999999081,9.225945394521267,conservative,False,True,False,,,,77580.8,,,,77585.1,77636.9,77611.0,,,,,,,,,,0.060032909203205004,1,,,,"{""displacement_grade"": ""valid"", ""entry_mode"": ""edge"", ""entry_price"": 77636.9, ""fvg_ce"": 77611.0, ""fvg_high"": 77636.9, ""fvg_low"": 77585.1, ""model_family"": ""ict"", ""mss_time"": 1777090200000, ""risk"": 71.62737999999081, ""risk_bps"": 9.225945394521267, ""stop_loss"": 77565.27262, ""stop_mode"": ""sweep_extreme"", ""structure_level"": 77641.2, ""sweep_extreme"": 77580.8, ""sweep_level"": 77590.0, ""sweep_time"": 1777090140000, ""target_mode"": ""nearest_liquidity""}",0.2247743809700688,0.6422125170571072,False,True,True,False,False
turtle_soup,ict,long,BTCUSDT,1m,1777090500000,1777090500000,1777090560000,1777090500000,close,sweep_extreme,opposite_range,77634.1,77634.1,77634.1,77607.67318,77607.67318,77678.0,26.426820000007865,3.4040222015851107,conservative,False,True,False,,,77630.2,77623.2,strong,24,strong,,,,,,,,,,,,,1.6611911686680847,1,9,,,"{""close_back_distance_bps"": 0.5023818050203054, ""entry_mode"": ""close"", ""entry_price"": 77634.1, ""model_family"": ""ict"", ""risk"": 26.426820000007865, ""risk_bps"": 3.4040222015851107, ""stop_loss"": 77607.67318, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 77623.2, ""sweep_level_age_bars"": 24, ""sweep_liquidity_quality"": ""strong"", ""sweep_swing_significance"": ""long"", ""swept_level"": 77630.2, ""target_mode"": ""opposite_range"", ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.357798, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.548374, ""wick_extension"": 7.0, ""wick_fraction"": 0.642202}, ""wick_extension_bps"": 0.901710932085709}",0.544900975599406,2.5769275304401194,True,False,False,False,False
breaker_block,ict,long,BTCUSDT,1m,1777090200000,1777090200000,1777090560000,1777090500000,edge,mean_threshold,nearest_liquidity,77629.0,77629.0,77629.0,77600.9742,77600.9742,77641.2,28.025800000003073,3.6102229836791757,conservative,False,True,False,,,,,,,,,,,,,,,,77604.0,77629.0,,1777090500000,0.4353131757165095,5,,,,"{""break_time"": 1777090200000, ""breaker_high"": 77629.0, ""breaker_low"": 77604.0, ""breaker_mean_threshold"": 77616.5, ""entry_mode"": ""edge"", ""entry_price"": 77629.0, ""entry_time"": 1777090500000, ""failed_ob_confirmed"": true, ""model_family"": ""ict"", ""retest_time"": 1777090500000, ""risk"": 28.025800000003073, ""risk_bps"": 3.6102229836791757, ""source_ob_time"": 1777089540000, ""stop_loss"": 77600.9742, ""stop_mode"": ""mean_threshold"", ""target_mode"": ""nearest_liquidity""}",0.6957874529896688,1.3594616389184837,False,True,True,False,False
ifvg_retest,ict,long,BTCUSDT,1m,1777092600000,1777092600000,1777093440000,1777092660000,edge,ce,fixed_r,77569.9,77569.9,77569.9,77552.58602,77552.58602,77604.52795999998,17.313979999991716,2.232048771494061,conservative,False,True,False,,,,,,,,,,,77566.3,77569.9,77568.1,,,,,1,1777092660000,2.0,1,10,7,,"{""breach_close"": 77571.6, ""breach_displacement_grade"": ""weak"", ""breach_time"": 1777092600000, ""entry_mode"": ""edge"", ""entry_price"": 77569.9, ""entry_time"": 1777092660000, ""ifvg_ce"": 77568.1, ""ifvg_high"": 77569.9, ""ifvg_low"": 77566.3, ""model_family"": ""ict"", ""retest_depth"": 2.1944444444481497, ""retest_time"": 1777092660000, ""risk"": 17.313979999991716, ""risk_bps"": 2.232048771494061, ""source_fvg_direction"": ""bearish"", ""stop_loss"": 77552.58602, ""stop_mode"": ""ce"", ""target_mode"": ""fixed_r"", ""time_to_retest_bars"": 1}",1.738479540811542,7.61234563052813,True,False,False,True,False
ifvg_retest,ict,long,BTCUSDT,1m,1777094040000,1777094040000,1777094160000,1777094100000,edge,ce,fixed_r,77467.9,77467.9,77467.9,77451.40642,77451.40642,77500.88715999998,16.493579999994836,2.1290857245381423,conservative,False,True,False,,,,,,,,,,,77465.9,77467.9,77466.9,,,,,1,1777094100000,2.0,1,1,,,"{""breach_close"": 77469.1, ""breach_displacement_grade"": ""weak"", ""breach_time"": 1777094040000, ""entry_mode"": ""edge"", ""entry_price"": 77467.9, ""entry_time"": 1777094100000, ""ifvg_ce"": 77466.9, ""ifvg_high"": 77467.9, ""ifvg_low"": 77465.9, ""model_family"": ""ict"", ""retest_depth"": 8.94999999999709, ""retest_time"": 1777094100000, ""risk"": 16.493579999994836, ""risk_bps"": 2.1290857245381423, ""source_fvg_direction"": ""bearish"", ""stop_loss"": 77451.40642, ""stop_mode"": ""ce"", ""target_mode"": ""fixed_r"", ""time_to_retest_bars"": 1}",1.7036931945650744,1.5339301716180647,True,False,False,False,False
ict2022_mss_fvg,ict,long,BTCUSDT,1m,1777095360000,1777095360000,1777095900000,1777095360000,edge,sweep_extreme,nearest_liquidity,77470.2,77470.2,77470.2,77432.70595999999,77432.70595999999,77478.1,37.49404000000504,4.8398016269488195,conservative,False,True,False,,,,77448.2,,,,77468.8,77470.2,77469.5,,,,,,,,,,0.21070015394467143,1,,,,"{""displacement_grade"": ""strong"", ""entry_mode"": ""edge"", ""entry_price"": 77470.2, ""fvg_ce"": 77469.5, ""fvg_high"": 77470.2, ""fvg_low"": 77468.8, ""model_family"": ""ict"", ""mss_time"": 1777095360000, ""risk"": 37.49404000000504, ""risk_bps"": 4.8398016269488195, ""stop_loss"": 77432.70595999999, ""stop_mode"": ""sweep_extreme"", ""structure_level"": 77478.1, ""sweep_extreme"": 77448.2, ""sweep_level"": 77450.0, ""sweep_time"": 1777095060000, ""target_mode"": ""nearest_liquidity""}",1.109509671403781,0.0053341811124398095,False,True,True,False,False
breaker_block,ict,long,BTCUSDT,1m,1777095540000,1777095540000,1777096500000,1777096440000,edge,mean_threshold,nearest_liquidity,77481.6,77481.6,77481.6,77465.25368,77465.25368,77490.5,16.346320000011474,2.1097034650822226,conservative,False,True,False,,,,,,,,,,,,,,,,77479.9,77481.6,,1777096440000,0.5444650539074196,15,,,,"{""break_time"": 1777095540000, ""breaker_high"": 77481.6, ""breaker_low"": 77479.9, ""breaker_mean_threshold"": 77480.75, ""entry_mode"": ""edge"", ""entry_price"": 77481.6, ""entry_time"": 1777096440000, ""failed_ob_confirmed"": true, ""model_family"": ""ict"", ""retest_time"": 1777096440000, ""risk"": 16.346320000011474, ""risk_bps"": 2.1097034650822226, ""source_ob_time"": 1777094580000, ""stop_loss"": 77465.25368, ""stop_mode"": ""mean_threshold"", ""target_mode"": ""nearest_liquidity""}",0.20188030088644063,0.709639845543075,False,False,False,False,False
ifvg_retest,ict,long,BTCUSDT,1m,1777096800000,1777096800000,1777098000000,1777097940000,edge,ce,fixed_r,77485.1,77485.1,77485.1,77466.30298000001,77466.30298000001,77522.69404,18.797019999998156,2.4258883320790905,conservative,False,True,False,,,,,,,,,,,77478.5,77485.1,77481.8,,,,,19,1777097940000,2.0,19,2,1,,"{""breach_close"": 77496.0, ""breach_displacement_grade"": ""weak"", ""breach_time"": 1777096800000, ""entry_mode"": ""edge"", ""entry_price"": 77485.1, ""entry_time"": 1777097940000, ""ifvg_ce"": 77481.8, ""ifvg_high"": 77485.1, ""ifvg_low"": 77478.5, ""model_family"": ""ict"", ""retest_depth"": 0.36363636363736584, ""retest_time"": 1777097940000, ""risk"": 18.797019999998156, ""risk_bps"": 2.4258883320790905, ""source_fvg_direction"": ""bearish"", ""stop_loss"": 77466.30298000001, ""stop_mode"": ""ce"", ""target_mode"": ""fixed_r"", ""time_to_retest_bars"": 19}",1.207638232017592,1.1916782553836156,True,False,False,True,False
