model,htf_bias,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 3,bearish,14,13,1,0,14,9.97852,10.340983,16.713721,5.0,0.923077,0.923077,0.923077,0.714286,0.615385,0.615385,3.214286,BTCUSDT,4h
Entry Model 3,bullish,6,6,0,6,0,9.712423,7.988974,6.994601,7.463489,1.0,1.0,1.0,0.666667,0.666667,0.666667,3.166667,ETHUSDT,1h
