model,score_bucket,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 3,high,4,4,0,1,3,4.778513,4.559793,3.93506,2.633452,1.0,1.0,1.0,0.5,0.5,0.5,4.0,SOLUSDT,1h
Entry Model 3,medium,16,15,1,5,11,11.25875,10.665195,16.233716,10.753644,0.933333,0.933333,0.933333,0.75,0.666667,0.666667,3.0,BTCUSDT,4h
