model,fvg_status,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 3,filled,17,16,1,4,13,8.956986,6.253959,13.879486,3.213102,0.9375,0.9375,0.9375,0.647059,0.625,0.625,3.235294,BTCUSDT,4h
Entry Model 3,partially_filled,3,3,0,2,1,14.894506,16.951965,12.391401,12.038462,1.0,1.0,1.0,1.0,0.666667,0.666667,3.0,BTCUSDT,1h
