model,fvg_status,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 3,filled,8,8,0,4,4,14.493624,11.939744,17.396751,5.687013,1.0,1.0,1.0,0.75,0.5,0.5,4.375,ETHUSDT,4h
Entry Model 3,partially_filled,4,3,1,4,0,28.9253,17.846939,17.670486,18.650273,0.666667,0.666667,0.666667,1.0,0.333333,0.333333,4.0,ETHUSDT,1h
