model,htf_bias,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 3,bearish,4,4,0,0,4,12.537741,11.939744,16.579009,2.067818,1.0,1.0,1.0,0.75,0.5,0.5,4.25,BTCUSDT,4h
Entry Model 3,bullish,8,7,1,8,0,21.796276,14.866477,17.981347,18.650273,0.857143,0.857143,0.857143,0.875,0.428571,0.428571,4.25,ETHUSDT,1h
