model,timeframe,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 3,1h,9,8,1,8,1,19.411663,11.043816,23.506229,19.397686,0.875,0.875,0.875,0.888889,0.375,0.375,4.333333,ETHUSDT,1h
Entry Model 3,4h,3,3,0,0,3,15.810529,13.214292,1.378545,1.882765,1.0,1.0,1.0,0.666667,0.666667,0.666667,4.0,BTCUSDT,4h
