model,displacement,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 3,has_displacement,10,9,1,7,3,18.256257,10.665195,16.294594,10.753644,0.888889,0.888889,0.888889,0.8,0.444444,0.444444,4.3,ETHUSDT,1h
Entry Model 3,weak_or_none,2,2,0,1,1,19.209288,19.209288,22.767061,22.767061,1.0,1.0,1.0,1.0,0.5,0.5,4.0,BTCUSDT,4h
