rank,filter_name,count,filtered_out,expectancy,target_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_decision_score,avg_rr,min_decision_score,min_target_distance_r,require_smt,require_session_window,allowed_displacement_grades,allowed_htf_locations,exclude_no_trade_reasons
26,"min_target_distance_r=3;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,106,0.495703,0.272727,0.454545,0.636364,100.0,11.547798,0,3,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
27,"min_target_distance_r=3;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",11,106,0.495703,0.272727,0.454545,0.636364,100.0,11.547798,0,3,false,false,"valid,strong","discount,premium",
28,"min_target_distance_r=3;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,106,0.495703,0.272727,0.454545,0.636364,100.0,11.547798,0,3,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
29,"min_decision_score=50;min_target_distance_r=3;allowed_displacement_grades=valid,strong",11,106,0.495703,0.272727,0.454545,0.636364,100.0,11.547798,50,3,false,false,"valid,strong",,
30,"min_decision_score=50;min_target_distance_r=3;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,106,0.495703,0.272727,0.454545,0.636364,100.0,11.547798,50,3,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
31,"min_decision_score=50;min_target_distance_r=3;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",11,106,0.495703,0.272727,0.454545,0.636364,100.0,11.547798,50,3,false,false,"valid,strong","discount,premium",
32,"min_decision_score=50;min_target_distance_r=3;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,106,0.495703,0.272727,0.454545,0.636364,100.0,11.547798,50,3,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
33,"min_decision_score=70;min_target_distance_r=3;allowed_displacement_grades=valid,strong",11,106,0.495703,0.272727,0.454545,0.636364,100.0,11.547798,70,3,false,false,"valid,strong",,
34,"min_decision_score=70;min_target_distance_r=3;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,106,0.495703,0.272727,0.454545,0.636364,100.0,11.547798,70,3,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
35,"min_decision_score=70;min_target_distance_r=3;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",11,106,0.495703,0.272727,0.454545,0.636364,100.0,11.547798,70,3,false,false,"valid,strong","discount,premium",
