model,htf_zone_type,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
ifvg_retest,Breaker,4,4,3,0,27.755599,18.027706,0.25,3.768603,99.25,0.285256,0.25,0.25,0.25,0.5,2.333333,1.0,1.0,1.0,0,2
ifvg_retest,FVG,13,13,13,0,13.058728,7.118517,0.307692,7.73015,99.153846,0.032081,0.307692,0.307692,0.307692,0.692308,2.615385,1.333333,1.0,1.0,0,6
ifvg_retest,IFVG,1,1,1,0,12.214411,12.214411,1.0,3.028747,100.0,3.028747,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
ifvg_retest,PD,3,3,3,0,13.022456,14.106519,0.0,7.052256,97.333333,-1.0,0.0,0.333333,0.333333,1.0,1.0,1.666667,1.0,1.0,0,2
reclaimed_ob,Breaker,2,2,1,1,8.190506,8.190506,0.5,1.107261,77.0,1.010257,0.5,0.5,0.5,0.0,2.0,,1.0,1.0,0,2
reclaimed_ob,FVG,3,3,3,0,42.120674,6.556014,0.666667,12.177856,94.0,3.216405,0.666667,1.0,1.0,0.333333,1.0,5.0,1.0,1.0,0,1
reclaimed_ob,IFVG,1,1,1,0,11.142703,11.142703,1.0,1.039529,77.0,1.039529,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
reclaimed_ob,PD,3,3,3,0,3.457667,3.70286,0.333333,64.403935,91.333333,-0.41188,0.333333,0.666667,0.666667,0.666667,1.333333,2.0,1.0,1.0,0,1
rejection_block,Breaker,6,6,6,0,4.87715,4.48633,0.333333,2.637192,96.166667,-0.066532,0.333333,0.666667,0.333333,0.666667,1.0,2.0,1.0,1.0,0,4
rejection_block,FVG,57,57,57,0,5.414398,3.814399,0.54386,2.181634,90.0,0.283542,0.54386,0.631579,0.315789,0.45614,1.0,2.615385,1.916667,2.222222,0,46
rejection_block,IFVG,7,7,7,0,2.556067,2.292102,0.428571,2.767627,81.285714,0.219675,0.428571,0.428571,0.285714,0.571429,1.0,1.25,1.0,5.5,0,6
rejection_block,PD,17,17,17,0,3.247181,2.309738,0.352941,3.722345,95.0,0.38732,0.352941,0.764706,0.470588,0.588235,1.0,4.4,2.153846,4.5,0,12
