scope,model,threshold,filter_name,filtered_out,count,activated_trades,invalidated_before_entry,avg_decision_score,avg_mfe_r,median_mfe_r,avg_rr,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,same_bar_ambiguous_count,no_trade_reason_count,top_no_trade_reasons
all,ALL,0,none,0,951,914,29,77.009464,5.966449,3.076181,5.237277,0.259347,0.298633,0.407992,0.272345,0.601472,0,694,poor_pd_location:397;target_rr_below_2:373;target_rr_below_3:125;insufficient_displacement:64
model,breaker_block,0,none,0,64,30,28,79.59375,11.457118,6.585681,6.273518,0.679432,0.328125,0.296875,0.265625,0.140625,0,64,insufficient_displacement:64;target_rr_below_2:44;poor_pd_location:34;target_rr_below_3:4
model,ict2022_mss_fvg,0,none,0,3,3,0,100.0,6.958673,5.33504,14.451878,6.958673,0.0,1.0,0.666667,0.0,0,1,poor_pd_location:1
model,ifvg_retest,0,none,0,67,65,0,95.865672,27.368231,14.106519,5.848423,0.544192,0.238806,0.313433,0.298507,0.731343,0,46,target_rr_below_2:28;poor_pd_location:28;target_rr_below_3:5
model,mitigation_block,0,none,0,190,190,0,77.731579,1.983735,1.299914,0.775361,-0.320837,0.426316,0.210526,0.057895,0.563158,0,189,target_rr_below_2:159;poor_pd_location:69;target_rr_below_3:29
model,reclaimed_ob,0,none,0,10,9,1,78.9,18.78602,6.556014,19.824721,0.730458,0.7,0.8,0.8,0.2,0,9,target_rr_below_2:7;poor_pd_location:5;target_rr_below_3:1
model,rejection_block,0,none,0,161,161,0,83.583851,5.621072,4.450242,2.115813,0.610994,0.583851,0.627329,0.42236,0.403727,0,144,target_rr_below_2:91;poor_pd_location:68;target_rr_below_3:32
model,silver_bullet,0,none,0,8,8,0,88.625,1.025933,0.794425,2.0,-0.017967,0.125,0.375,0.125,0.5,0,8,target_rr_below_3:8;poor_pd_location:5
model,turtle_soup,0,none,0,448,448,0,70.747768,4.130861,2.810172,7.682441,0.260201,0.142857,0.430804,0.294643,0.75,0,233,poor_pd_location:187;target_rr_below_3:46;target_rr_below_2:44
filtered_model,breaker_block,0,model_rules,44,20,6,11,93.9,24.103724,24.546586,18.441163,3.062642,0.25,0.25,0.25,0.05,0,20,insufficient_displacement:20;poor_pd_location:6;target_rr_below_3:4
filtered_model,ict2022_mss_fvg,0,model_rules,3,0,0,0,,,,,,,,,,0,0,
filtered_model,ifvg_retest,0,model_rules,46,21,20,0,100.0,40.958945,24.816638,12.393201,2.457493,0.190476,0.380952,0.380952,0.761905,0,0,
filtered_model,mitigation_block,0,model_rules,168,22,22,0,90.5,1.856075,1.693435,2.191966,-0.325202,0.136364,0.318182,0.181818,0.818182,0,21,target_rr_below_3:21
filtered_model,reclaimed_ob,0,model_rules,7,3,3,0,91.333333,2.803248,3.084666,63.489609,0.0,0.333333,0.666667,0.666667,0.666667,0,2,poor_pd_location:1;target_rr_below_3:1
filtered_model,rejection_block,0,model_rules,120,41,41,0,94.97561,6.366925,4.867678,3.413082,0.705791,0.439024,0.658537,0.560976,0.560976,0,24,target_rr_below_3:24
filtered_model,silver_bullet,0,model_rules,5,3,3,0,98.0,1.032427,0.611755,2.0,0.537252,0.333333,0.333333,0.333333,0.333333,0,3,target_rr_below_3:3
filtered_model,turtle_soup,0,model_rules,90,358,358,0,74.00838,4.460734,2.991249,9.144092,0.27113,0.081006,0.427374,0.296089,0.798883,0,143,poor_pd_location:143
filtered_all,ALL,0,model_rules,483,468,453,11,78.901709,6.344655,3.304036,9.160884,0.414978,0.130342,0.433761,0.318376,0.741453,0,213,poor_pd_location:150;target_rr_below_3:53;insufficient_displacement:20
all,ALL,50,none,0,930,893,29,77.732258,6.079491,3.220404,5.326163,0.285197,0.303226,0.413978,0.276344,0.594624,0,673,poor_pd_location:376;target_rr_below_2:352;target_rr_below_3:125;insufficient_displacement:64
model,breaker_block,50,none,0,64,30,28,79.59375,11.457118,6.585681,6.273518,0.679432,0.328125,0.296875,0.265625,0.140625,0,64,insufficient_displacement:64;target_rr_below_2:44;poor_pd_location:34;target_rr_below_3:4
model,ict2022_mss_fvg,50,none,0,3,3,0,100.0,6.958673,5.33504,14.451878,6.958673,0.0,1.0,0.666667,0.0,0,1,poor_pd_location:1
model,ifvg_retest,50,none,0,67,65,0,95.865672,27.368231,14.106519,5.848423,0.544192,0.238806,0.313433,0.298507,0.731343,0,46,target_rr_below_2:28;poor_pd_location:28;target_rr_below_3:5
model,mitigation_block,50,none,0,190,190,0,77.731579,1.983735,1.299914,0.775361,-0.320837,0.426316,0.210526,0.057895,0.563158,0,189,target_rr_below_2:159;poor_pd_location:69;target_rr_below_3:29
model,reclaimed_ob,50,none,0,10,9,1,78.9,18.78602,6.556014,19.824721,0.730458,0.7,0.8,0.8,0.2,0,9,target_rr_below_2:7;poor_pd_location:5;target_rr_below_3:1
model,rejection_block,50,none,0,161,161,0,83.583851,5.621072,4.450242,2.115813,0.610994,0.583851,0.627329,0.42236,0.403727,0,144,target_rr_below_2:91;poor_pd_location:68;target_rr_below_3:32
model,silver_bullet,50,none,0,8,8,0,88.625,1.025933,0.794425,2.0,-0.017967,0.125,0.375,0.125,0.5,0,8,target_rr_below_3:8;poor_pd_location:5
model,turtle_soup,50,none,0,427,427,0,72.014052,4.276996,3.033821,7.996288,0.314305,0.145199,0.444965,0.30445,0.742389,0,212,poor_pd_location:166;target_rr_below_3:46;target_rr_below_2:23
filtered_model,breaker_block,50,model_rules,44,20,6,11,93.9,24.103724,24.546586,18.441163,3.062642,0.25,0.25,0.25,0.05,0,20,insufficient_displacement:20;poor_pd_location:6;target_rr_below_3:4
filtered_model,ict2022_mss_fvg,50,model_rules,3,0,0,0,,,,,,,,,,0,0,
filtered_model,ifvg_retest,50,model_rules,46,21,20,0,100.0,40.958945,24.816638,12.393201,2.457493,0.190476,0.380952,0.380952,0.761905,0,0,
filtered_model,mitigation_block,50,model_rules,168,22,22,0,90.5,1.856075,1.693435,2.191966,-0.325202,0.136364,0.318182,0.181818,0.818182,0,21,target_rr_below_3:21
filtered_model,reclaimed_ob,50,model_rules,7,3,3,0,91.333333,2.803248,3.084666,63.489609,0.0,0.333333,0.666667,0.666667,0.666667,0,2,poor_pd_location:1;target_rr_below_3:1
filtered_model,rejection_block,50,model_rules,120,41,41,0,94.97561,6.366925,4.867678,3.413082,0.705791,0.439024,0.658537,0.560976,0.560976,0,24,target_rr_below_3:24
filtered_model,silver_bullet,50,model_rules,5,3,3,0,98.0,1.032427,0.611755,2.0,0.537252,0.333333,0.333333,0.333333,0.333333,0,3,target_rr_below_3:3
filtered_model,turtle_soup,50,model_rules,69,358,358,0,74.00838,4.460734,2.991249,9.144092,0.27113,0.081006,0.427374,0.296089,0.798883,0,143,poor_pd_location:143
filtered_all,ALL,50,model_rules,462,468,453,11,78.901709,6.344655,3.304036,9.160884,0.414978,0.130342,0.433761,0.318376,0.741453,0,213,poor_pd_location:150;target_rr_below_3:53;insufficient_displacement:20
all,ALL,70,none,0,672,643,22,83.441964,6.94977,3.341757,5.317403,0.347728,0.315476,0.40625,0.27381,0.581845,0,415,target_rr_below_2:260;poor_pd_location:141;target_rr_below_3:102;insufficient_displacement:47
model,breaker_block,70,none,0,47,21,21,85.957447,12.512315,5.91938,8.34897,0.995742,0.340426,0.319149,0.276596,0.106383,0,47,insufficient_displacement:47;target_rr_below_2:27;poor_pd_location:17;target_rr_below_3:4
model,ict2022_mss_fvg,70,none,0,3,3,0,100.0,6.958673,5.33504,14.451878,6.958673,0.0,1.0,0.666667,0.0,0,1,poor_pd_location:1
model,ifvg_retest,70,none,0,67,65,0,95.865672,27.368231,14.106519,5.848423,0.544192,0.238806,0.313433,0.298507,0.731343,0,46,target_rr_below_2:28;poor_pd_location:28;target_rr_below_3:5
model,mitigation_block,70,none,0,160,160,0,80.68125,2.075902,1.299914,0.851204,-0.350751,0.39375,0.21875,0.05,0.59375,0,159,target_rr_below_2:129;poor_pd_location:39;target_rr_below_3:29
model,reclaimed_ob,70,none,0,8,7,1,83.125,21.83854,6.556014,24.456075,0.56793,0.625,0.75,0.75,0.25,0,7,target_rr_below_2:5;poor_pd_location:3;target_rr_below_3:1
model,rejection_block,70,none,0,141,141,0,86.64539,5.860983,4.450242,2.318609,0.702826,0.574468,0.64539,0.446809,0.411348,0,124,target_rr_below_2:71;poor_pd_location:48;target_rr_below_3:32
model,silver_bullet,70,none,0,8,8,0,88.625,1.025933,0.794425,2.0,-0.017967,0.125,0.375,0.125,0.5,0,8,target_rr_below_3:8;poor_pd_location:5
model,turtle_soup,70,none,0,238,238,0,79.033613,4.565177,3.039943,8.701378,0.418571,0.12605,0.415966,0.298319,0.747899,0,23,target_rr_below_3:23
filtered_model,breaker_block,70,model_rules,27,20,6,11,93.9,24.103724,24.546586,18.441163,3.062642,0.25,0.25,0.25,0.05,0,20,insufficient_displacement:20;poor_pd_location:6;target_rr_below_3:4
filtered_model,ict2022_mss_fvg,70,model_rules,3,0,0,0,,,,,,,,,,0,0,
filtered_model,ifvg_retest,70,model_rules,46,21,20,0,100.0,40.958945,24.816638,12.393201,2.457493,0.190476,0.380952,0.380952,0.761905,0,0,
filtered_model,mitigation_block,70,model_rules,138,22,22,0,90.5,1.856075,1.693435,2.191966,-0.325202,0.136364,0.318182,0.181818,0.818182,0,21,target_rr_below_3:21
filtered_model,reclaimed_ob,70,model_rules,5,3,3,0,91.333333,2.803248,3.084666,63.489609,0.0,0.333333,0.666667,0.666667,0.666667,0,2,poor_pd_location:1;target_rr_below_3:1
filtered_model,rejection_block,70,model_rules,100,41,41,0,94.97561,6.366925,4.867678,3.413082,0.705791,0.439024,0.658537,0.560976,0.560976,0,24,target_rr_below_3:24
filtered_model,silver_bullet,70,model_rules,5,3,3,0,98.0,1.032427,0.611755,2.0,0.537252,0.333333,0.333333,0.333333,0.333333,0,3,target_rr_below_3:3
filtered_model,turtle_soup,70,model_rules,23,215,215,0,80.0,4.602351,2.968098,9.371349,0.362787,0.093023,0.395349,0.274419,0.786047,0,0,
filtered_all,ALL,70,model_rules,347,325,310,11,85.018462,7.311907,3.510049,9.318613,0.544902,0.16,0.415385,0.313846,0.707692,0,70,target_rr_below_3:53;insufficient_displacement:20;poor_pd_location:7
