model,timeframe,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,15m,426,365,61,227,199,3.952405,1.224017,2.493673,1.346672,0.769863,0.550685,0.339726,0.647887,0.449315,0.252055,4.715962,ETHUSDT,15m
Entry Model 1,30m,220,202,18,128,92,10.278145,1.297194,4.999223,1.314797,0.752475,0.579208,0.346535,0.613636,0.475248,0.252475,4.759091,BTCUSDT,30m
Entry Model 2,15m,800,674,126,426,374,3.171085,1.510748,3.64406,1.863607,0.775964,0.620178,0.416914,0.70875,0.458457,0.28635,4.80875,BTCUSDT,15m
Entry Model 2,30m,425,362,63,225,200,3.142904,1.620879,3.445653,1.840122,0.798343,0.61326,0.414365,0.715294,0.483425,0.298343,4.847059,ETHUSDT,30m
Entry Model 3,30m,180,179,1,95,85,6.927113,3.444268,7.672497,4.927746,0.865922,0.810056,0.709497,0.922222,0.52514,0.379888,4.977778,ETHUSDT,30m
