model,htf_alignment,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,aligned,462,408,54,259,203,2.57194,1.2009,2.780328,1.397995,0.727941,0.534314,0.330882,0.642857,0.443627,0.247549,4.928571,BTCUSDT,30m
Entry Model 1,neutral,184,159,25,96,88,15.531207,1.405448,4.941257,1.2042,0.855346,0.628931,0.371069,0.619565,0.496855,0.264151,4.233696,BTCUSDT,30m
Entry Model 2,aligned,859,738,121,475,384,3.133046,1.495532,3.838944,1.881576,0.766938,0.601626,0.409214,0.720605,0.449864,0.284553,4.967404,BTCUSDT,15m
Entry Model 2,neutral,366,298,68,176,190,3.231056,1.618026,2.920409,1.794217,0.825503,0.657718,0.432886,0.688525,0.510067,0.305369,4.480874,ETHUSDT,30m
Entry Model 3,aligned,180,179,1,95,85,6.927113,3.444268,7.672497,4.927746,0.865922,0.810056,0.709497,0.922222,0.52514,0.379888,4.977778,ETHUSDT,30m
