model,htf_bias,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,bearish,203,181,22,0,203,2.551918,1.547981,2.719551,1.285106,0.779006,0.59116,0.392265,0.605911,0.491713,0.303867,4.926108,BTCUSDT,15m
Entry Model 1,bullish,259,227,32,259,0,2.587904,0.992706,2.828789,1.448911,0.687225,0.488987,0.281938,0.671815,0.405286,0.202643,4.930502,BTCUSDT,30m
Entry Model 1,neutral,184,159,25,96,88,15.531207,1.405448,4.941257,1.2042,0.855346,0.628931,0.371069,0.619565,0.496855,0.264151,4.233696,BTCUSDT,30m
Entry Model 2,bearish,384,336,48,0,384,3.227472,1.645731,4.110506,1.863607,0.77381,0.616071,0.422619,0.700521,0.473214,0.303571,4.984375,BTCUSDT,15m
Entry Model 2,bullish,475,402,73,475,0,3.054123,1.372306,3.611968,1.921902,0.761194,0.589552,0.39801,0.736842,0.430348,0.268657,4.953684,BTCUSDT,15m
Entry Model 2,neutral,366,298,68,176,190,3.231056,1.618026,2.920409,1.794217,0.825503,0.657718,0.432886,0.688525,0.510067,0.305369,4.480874,ETHUSDT,30m
Entry Model 3,bearish,85,85,0,0,85,6.70401,3.2,7.57645,5.68973,0.835294,0.788235,0.682353,0.894118,0.494118,0.376471,4.988235,ETHUSDT,30m
Entry Model 3,bullish,95,94,1,95,0,7.128856,3.814786,7.759348,4.603134,0.893617,0.829787,0.734043,0.947368,0.553191,0.382979,4.968421,ETHUSDT,30m
