model,timeframe,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,5m,95,83,12,51,44,3.025005,1.653872,2.742336,1.152305,0.819277,0.674699,0.445783,0.663158,0.554217,0.349398,3.989474,BTCUSDT,5m
Entry Model 2,5m,158,132,26,81,77,2.454065,1.580838,2.368169,1.663326,0.795455,0.666667,0.386364,0.683544,0.515152,0.295455,4.740506,BTCUSDT,5m
