model,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
ict2022_mss_fvg,07:00-10:00,1,1,1,0,0.355273,0.355273,0.0,2.0,88.0,-1.0,-1.0,-1.015206,-1.015206,0.016903,-0.001697,0.015206,0.0,0.0,0.0,1.0,1.0,7.0,,,0,1
ict2022_mss_fvg,13:30-16:00,1,1,1,0,2.590308,2.590308,1.0,2.132272,88.0,2.132272,1.566136,1.48775,1.48775,0.046972,0.031414,0.078386,1.0,1.0,1.0,0.0,3.0,,6.0,8.0,0,1
