model,timeframe,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,1h,19,19,19,0,3.154721,2.453975,0.421053,2.503827,76.842105,0.612369,0.195942,0.050775,0.050775,0.151249,-0.006082,0.145167,0.421053,0.421053,0.263158,0.421053,1.0,4.375,1.625,2.2,2,14
turtle_soup,30m,12,12,12,0,3.781594,3.080812,0.416667,2.161551,78.333333,0.061606,0.228792,0.038065,0.038065,0.194925,-0.004198,0.190727,0.416667,0.5,0.166667,0.583333,1.0,3.0,2.666667,1.5,3,8
