model,score_bucket,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,high,18,18,18,0,2.365009,2.068201,0.277778,2.0,80.0,-0.079635,-0.246301,-0.498008,-0.498008,0.251707,0.277778,0.333333,0.277778,0.666667,1.0,3.083333,1.5,3.0,0,18
turtle_soup,medium,125,125,125,0,3.382917,2.057234,0.256,2.0,60.0,-0.078612,-0.011572,-0.286348,-0.286348,0.274776,0.256,0.456,0.256,0.664,1.0,3.325301,3.491228,6.03125,15,125
