model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
ifvg_retest,long,29,29,11,0,19.434948,10.46407,0.068966,2.956569,100.0,-0.419042,0.068966,0.068966,0.034483,0.310345,3.814815,1.0,2.0,1.0,0,20
ifvg_retest,short,8,8,5,0,31.196846,8.333197,0.25,4.58871,100.0,0.93786,0.25,0.25,0.25,0.375,3.857143,1.0,1.0,1.0,0,2
reclaimed_ob,long,11,11,1,1,1.324589,1.324589,0.0,6.104368,90.818182,-1.0,0.0,0.090909,0.0,0.090909,2.636364,2.0,1.0,,0,8
reclaimed_ob,short,5,5,2,0,1.152268,1.152268,0.2,6.194455,94.6,-0.447274,0.2,0.2,0.0,0.2,2.0,4.0,1.0,,0,3
rejection_block,long,57,57,57,0,3.492335,2.18491,0.298246,2.077113,89.894737,-0.265313,0.298246,0.333333,0.140351,0.684211,1.0,1.794872,1.315789,2.0,0,48
rejection_block,short,14,14,14,0,4.280652,2.872404,0.214286,2.491031,92.857143,-0.29094,0.214286,0.785714,0.285714,0.785714,1.0,3.363636,1.181818,1.0,0,10
