model,model_family,direction,symbol,timeframe,timestamp,entry_mode,stop_mode,target_mode,entry_price,entry_low,entry_high,stop_loss,invalidation,target_hint,risk,risk_bps,same_bar_policy,same_bar_ambiguous,session_window,ny_time,swept_level,sweep_extreme,fvg_low,fvg_high,fvg_ce,ifvg_low,ifvg_high,ifvg_ce,ob_low,ob_high,breaker_low,breaker_high,time_to_retest_bars,target_distance_r,metadata_json,mfe_r,mae_r,invalidated,target_hit,target_before_invalidation
silver_bullet,ict,long,BTCUSDT,1m,1777125720000,edge,swing_or_fvg,fixed_r,77653.8,77653.8,77653.8,77634.46924,77634.46924,77692.46152,19.3307599999971,2.4893514547899906,conservative,False,10:00-11:00,2026-04-25 10:01,,,77650.1,77653.8,77651.95000000001,,,,,,,,,2.0,"{""entry_mode"": ""edge"", ""entry_price"": 77653.8, ""fvg_ce"": 77651.95000000001, ""fvg_high"": 77653.8, ""fvg_low"": 77650.1, ""fvg_time"": 1777125660000, ""model_family"": ""ict"", ""ny_time"": ""2026-04-25 10:01"", ""risk"": 19.3307599999971, ""risk_bps"": 2.4893514547899906, ""session_window"": ""10:00-11:00"", ""stop_loss"": 77634.46924, ""stop_mode"": ""swing_or_fvg"", ""target_mode"": ""fixed_r""}",0.5897336679983555,3.3107855045538614,True,False,False
silver_bullet,ict,long,BTCUSDT,1m,1777125840000,edge,swing_or_fvg,fixed_r,77657.5,77657.5,77657.5,77584.4685,77584.4685,77803.563,73.03149999999732,9.404307375333653,conservative,False,10:00-11:00,2026-04-25 10:03,,,77653.9,77657.5,77655.7,,,,,,,,,2.0,"{""entry_mode"": ""edge"", ""entry_price"": 77657.5, ""fvg_ce"": 77655.7, ""fvg_high"": 77657.5, ""fvg_low"": 77653.9, ""fvg_time"": 1777125780000, ""model_family"": ""ict"", ""ny_time"": ""2026-04-25 10:03"", ""risk"": 73.03149999999732, ""risk_bps"": 9.404307375333653, ""session_window"": ""10:00-11:00"", ""stop_loss"": 77584.4685, ""stop_mode"": ""swing_or_fvg"", ""target_mode"": ""fixed_r""}",0.10543395658034371,0.890026906198043,False,False,False
silver_bullet,ict,short,BTCUSDT,1m,1777126020000,edge,swing_or_fvg,fixed_r,77595.1,77595.1,77595.1,77715.81902000001,77715.81902000001,77353.66196,120.7190200000041,15.55755711378735,conservative,False,10:00-11:00,2026-04-25 10:06,,,77595.1,77600.0,77597.55,,,,,,,,,2.0,"{""entry_mode"": ""edge"", ""entry_price"": 77595.1, ""fvg_ce"": 77597.55, ""fvg_high"": 77600.0, ""fvg_low"": 77595.1, ""fvg_time"": 1777125960000, ""model_family"": ""ict"", ""ny_time"": ""2026-04-25 10:06"", ""risk"": 120.7190200000041, ""risk_bps"": 15.55755711378735, ""session_window"": ""10:00-11:00"", ""stop_loss"": 77715.81902000001, ""stop_mode"": ""swing_or_fvg"", ""target_mode"": ""fixed_r""}",0.0,0.8697883730334826,False,False,False
silver_bullet,ict,long,BTCUSDT,1m,1777126140000,edge,swing_or_fvg,fixed_r,77616.7,77616.7,77616.7,77574.27666,77574.27666,77701.54667999998,42.423339999993914,5.4657489947387505,conservative,False,10:00-11:00,2026-04-25 10:08,,,77595.1,77616.7,77605.9,,,,,,,,,2.0,"{""entry_mode"": ""edge"", ""entry_price"": 77616.7, ""fvg_ce"": 77605.9, ""fvg_high"": 77616.7, ""fvg_low"": 77595.1, ""fvg_time"": 1777126080000, ""model_family"": ""ict"", ""ny_time"": ""2026-04-25 10:08"", ""risk"": 42.423339999993914, ""risk_bps"": 5.4657489947387505, ""session_window"": ""10:00-11:00"", ""stop_loss"": 77574.27666, ""stop_mode"": ""swing_or_fvg"", ""target_mode"": ""fixed_r""}",2.0743298382449997,0.3936512306668802,False,True,True
silver_bullet,ict,short,BTCUSDT,1m,1777126320000,edge,swing_or_fvg,fixed_r,77606.8,77606.8,77606.8,77650.72136,77650.72136,77518.95728000002,43.921359999993,5.659473138950839,conservative,False,10:00-11:00,2026-04-25 10:11,,,77606.8,77615.2,77611.0,,,,,,,,,2.0,"{""entry_mode"": ""edge"", ""entry_price"": 77606.8, ""fvg_ce"": 77611.0, ""fvg_high"": 77615.2, ""fvg_low"": 77606.8, ""fvg_time"": 1777126260000, ""model_family"": ""ict"", ""ny_time"": ""2026-04-25 10:11"", ""risk"": 43.921359999993, ""risk_bps"": 5.659473138950839, ""session_window"": ""10:00-11:00"", ""stop_loss"": 77650.72136, ""stop_mode"": ""swing_or_fvg"", ""target_mode"": ""fixed_r""}",0.12522380909882747,2.228983801958996,True,False,False
silver_bullet,ict,short,BTCUSDT,1m,1777126440000,edge,swing_or_fvg,fixed_r,77605.3,77605.3,77605.3,77671.02106,77671.02106,77473.85788000001,65.72105999999621,8.468630364162784,conservative,False,10:00-11:00,2026-04-25 10:13,,,77605.3,77606.6,77605.95000000001,,,,,,,,,2.0,"{""entry_mode"": ""edge"", ""entry_price"": 77605.3, ""fvg_ce"": 77605.95000000001, ""fvg_high"": 77606.6, ""fvg_low"": 77605.3, ""fvg_time"": 1777126380000, ""model_family"": ""ict"", ""ny_time"": ""2026-04-25 10:13"", ""risk"": 65.72105999999621, ""risk_bps"": 8.468630364162784, ""session_window"": ""10:00-11:00"", ""stop_loss"": 77671.02106, ""stop_mode"": ""swing_or_fvg"", ""target_mode"": ""fixed_r""}",0.0,1.512452781498045,True,False,False
silver_bullet,ict,long,BTCUSDT,1m,1777126560000,edge,swing_or_fvg,fixed_r,77655.4,77655.4,77655.4,77584.46892,77584.46892,77797.26215999998,70.93107999999484,9.134082111481602,conservative,False,10:00-11:00,2026-04-25 10:15,,,77605.3,77655.4,77630.35,,,,,,,,,2.0,"{""entry_mode"": ""edge"", ""entry_price"": 77655.4, ""fvg_ce"": 77630.35, ""fvg_high"": 77655.4, ""fvg_low"": 77605.3, ""fvg_time"": 1777126500000, ""model_family"": ""ict"", ""ny_time"": ""2026-04-25 10:15"", ""risk"": 70.93107999999484, ""risk_bps"": 9.134082111481602, ""session_window"": ""10:00-11:00"", ""stop_loss"": 77584.46892, ""stop_mode"": ""swing_or_fvg"", ""target_mode"": ""fixed_r""}",0.6950408762986057,0.48779745070840297,False,False,False
silver_bullet,ict,long,BTCUSDT,1m,1777126740000,edge,swing_or_fvg,fixed_r,77659.3,77659.3,77659.3,77605.26814,77605.26814,77767.36372000001,54.03186000000278,6.957551767786058,conservative,False,10:00-11:00,2026-04-25 10:18,,,77658.6,77659.3,77658.95000000001,,,,,,,,,2.0,"{""entry_mode"": ""edge"", ""entry_price"": 77659.3, ""fvg_ce"": 77658.95000000001, ""fvg_high"": 77659.3, ""fvg_low"": 77658.6, ""fvg_time"": 1777126680000, ""model_family"": ""ict"", ""ny_time"": ""2026-04-25 10:18"", ""risk"": 54.03186000000278, ""risk_bps"": 6.957551767786058, ""session_window"": ""10:00-11:00"", ""stop_loss"": 77605.26814, ""stop_mode"": ""swing_or_fvg"", ""target_mode"": ""fixed_r""}",0.8402449961928359,0.6958857237193738,False,False,False
silver_bullet,ict,short,BTCUSDT,1m,1777126860000,edge,swing_or_fvg,fixed_r,77625.8,77625.8,77625.8,77680.72516,77680.72516,77515.94968,54.92515999999887,7.075632070780445,conservative,False,10:00-11:00,2026-04-25 10:20,,,77625.8,77659.3,77642.55,,,,,,,,,2.0,"{""entry_mode"": ""edge"", ""entry_price"": 77625.8, ""fvg_ce"": 77642.55, ""fvg_high"": 77659.3, ""fvg_low"": 77625.8, ""fvg_time"": 1777126800000, ""model_family"": ""ict"", ""ny_time"": ""2026-04-25 10:20"", ""risk"": 54.92515999999887, ""risk_bps"": 7.075632070780445, ""session_window"": ""10:00-11:00"", ""stop_loss"": 77680.72516, ""stop_mode"": ""swing_or_fvg"", ""target_mode"": ""fixed_r""}",0.0,1.4874785981506249,True,False,False
silver_bullet,ict,long,BTCUSDT,1m,1777127040000,edge,swing_or_fvg,fixed_r,77652.2,77652.2,77652.2,77606.16956,77606.16956,77744.26088,46.03044000000227,5.927770237031568,conservative,False,10:00-11:00,2026-04-25 10:23,,,77635.3,77652.2,77643.75,,,,,,,,,2.0,"{""entry_mode"": ""edge"", ""entry_price"": 77652.2, ""fvg_ce"": 77643.75, ""fvg_high"": 77652.2, ""fvg_low"": 77635.3, ""fvg_time"": 1777126980000, ""model_family"": ""ict"", ""ny_time"": ""2026-04-25 10:23"", ""risk"": 46.03044000000227, ""risk_bps"": 5.927770237031568, ""session_window"": ""10:00-11:00"", ""stop_loss"": 77606.16956, ""stop_mode"": ""swing_or_fvg"", ""target_mode"": ""fixed_r""}",1.20137891360587,0.0,False,False,False
