model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
silver_bullet,2025-05-17,14:00-15:00,1,1,1,0,1.737793,1.737793,0.0,2.0,78.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,2.0,,,0,0
silver_bullet,2025-05-18,10:00-11:00,2,2,2,0,2.581637,2.581637,0.5,2.0,78.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.5,33.0,15.5,8.0,0,0
silver_bullet,2025-05-18,14:00-15:00,2,2,0,0,,,0.0,2.0,78.0,,,,0.0,0.0,0.0,0.0,4.0,,,,0,0
silver_bullet,2025-05-19,14:00-15:00,1,1,1,0,0.602087,0.602087,0.0,2.0,78.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,4.0,,,0,0
silver_bullet,2025-05-20,10:00-11:00,3,3,3,0,9.280507,9.26072,1.0,2.0,78.0,2.0,1.5,1.5,1.0,1.0,1.0,0.0,1.0,,8.333333,15.666667,0,0
silver_bullet,2025-05-20,14:00-15:00,1,1,1,0,7.565789,7.565789,0.0,2.0,78.0,-1.0,0.5,0.5,0.0,1.0,0.0,1.0,1.0,3.0,1.0,,1,0
silver_bullet,2025-05-21,10:00-11:00,2,2,1,0,7.587362,7.587362,0.0,2.0,78.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.5,1.5,2.0,,,0,0
silver_bullet,2025-05-21,14:00-15:00,2,2,1,0,8.85734,8.85734,0.0,2.0,78.0,-1.0,0.5,0.5,0.0,0.5,0.0,0.5,2.5,10.0,5.0,,1,0
silver_bullet,2025-05-22,14:00-15:00,2,2,2,0,3.480702,3.480702,0.0,2.0,78.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,3.0,,,0,0
silver_bullet,2025-05-23,10:00-11:00,1,1,0,0,,,0.0,2.0,78.0,,,,0.0,0.0,0.0,0.0,4.0,,,,0,0
silver_bullet,2025-05-23,14:00-15:00,2,2,2,0,4.211834,4.211834,1.0,2.0,78.0,2.0,1.5,1.5,1.0,1.0,1.0,0.0,1.0,,9.5,16.0,0,0
silver_bullet,2025-05-24,10:00-11:00,3,3,2,0,1.329308,1.329308,0.0,2.0,78.0,-1.0,-0.25,-0.25,0.0,0.333333,0.0,0.666667,1.666667,7.0,6.0,,0,0
silver_bullet,2025-05-24,14:00-15:00,3,3,3,0,9.275419,12.897218,0.0,2.0,78.0,-1.0,-0.5,-0.5,0.0,0.333333,0.0,1.0,1.333333,11.666667,9.0,,0,0
silver_bullet,2025-05-25,10:00-11:00,5,5,5,0,4.299405,4.140423,0.6,2.0,78.0,0.8,0.8,0.8,0.6,0.8,0.6,0.4,1.0,4.5,5.5,7.0,0,0
silver_bullet,2025-05-25,14:00-15:00,3,3,3,0,9.610947,12.454519,0.666667,2.0,78.0,1.0,0.666667,0.666667,0.666667,0.666667,0.666667,0.333333,1.0,3.0,9.0,20.0,0,0
silver_bullet,2025-05-26,10:00-11:00,1,1,1,0,2.703437,2.703437,0.0,2.0,78.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,18.0,,,0,0
silver_bullet,2025-05-26,14:00-15:00,1,1,1,0,1.627957,1.627957,0.0,2.0,78.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,5.0,,,0,0
