model,symbol,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,BTCUSDT,846,736,110,456,390,5.067333,1.521311,2.923106,1.21768,0.826087,0.637228,0.40625,0.620567,0.533967,0.3125,3.933806,BTCUSDT,30m
Entry Model 1,ETHUSDT,761,683,78,381,380,3.294096,1.509415,2.15223,0.963793,0.805271,0.633968,0.395315,0.532194,0.538799,0.300146,3.816032,ETHUSDT,15m
Entry Model 2,BTCUSDT,1498,1273,225,753,745,3.628475,1.744949,3.108045,1.563636,0.802042,0.672427,0.454046,0.671562,0.523959,0.318146,4.604139,BTCUSDT,15m
Entry Model 2,ETHUSDT,1329,1168,161,639,690,3.247481,1.843458,2.901872,1.485429,0.840753,0.690925,0.465753,0.638074,0.547089,0.347603,4.404063,ETHUSDT,30m
Entry Model 3,BTCUSDT,586,565,21,268,318,37.345759,2.684687,15.980605,2.703578,0.890265,0.79823,0.59823,0.773038,0.543363,0.352212,3.989761,BTCUSDT,30m
Entry Model 3,ETHUSDT,544,517,27,262,282,5.595069,2.598581,6.229944,2.724687,0.870406,0.773694,0.595745,0.729779,0.545455,0.369439,3.880515,ETHUSDT,15m
