model,direction,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,long,837,746,91,837,0,4.679019,1.459802,2.827803,1.143326,0.80563,0.623324,0.382038,0.585424,0.534853,0.297587,3.893668,BTCUSDT,30m
Entry Model 1,short,770,673,97,0,770,3.698182,1.616938,2.246417,1.062705,0.827637,0.649331,0.421991,0.571429,0.53789,0.316493,3.861039,ETHUSDT,15m
Entry Model 2,long,1392,1192,200,1392,0,3.491,1.815202,2.926237,1.459958,0.836409,0.697987,0.463926,0.650862,0.547819,0.338087,4.551724,ETHUSDT,15m
Entry Model 2,short,1435,1249,186,0,1435,3.40339,1.783934,3.088753,1.547634,0.805444,0.665332,0.455564,0.660627,0.522818,0.326661,4.469686,BTCUSDT,15m
Entry Model 3,long,530,512,18,530,0,41.563137,2.650882,17.48919,2.694926,0.888672,0.814453,0.609375,0.732075,0.572266,0.357422,3.941509,BTCUSDT,30m
Entry Model 3,short,600,570,30,0,600,4.759085,2.590189,5.781505,2.728319,0.873684,0.761404,0.585965,0.77,0.519298,0.363158,3.933333,ETHUSDT,15m
