model,timeframe,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,15m,1105,960,145,560,545,3.317382,1.506626,2.180298,1.141473,0.816667,0.635417,0.40625,0.59095,0.526042,0.303125,3.898643,ETHUSDT,15m
Entry Model 1,30m,502,459,43,277,225,6.088753,1.517471,3.329616,1.067037,0.814815,0.636166,0.389978,0.551793,0.557734,0.313725,3.832669,BTCUSDT,30m
Entry Model 2,15m,1906,1636,270,948,958,3.583532,1.820969,3.138921,1.562804,0.82335,0.687042,0.466381,0.667891,0.529951,0.328851,4.540399,BTCUSDT,15m
Entry Model 2,30m,921,805,116,444,477,3.167016,1.75087,2.746154,1.438042,0.814907,0.669565,0.445963,0.630836,0.545342,0.33913,4.44734,ETHUSDT,30m
Entry Model 3,15m,829,803,26,387,442,5.425133,2.751787,6.300096,2.751773,0.879203,0.794521,0.612702,0.755127,0.545455,0.371108,3.960193,ETHUSDT,15m
Entry Model 3,30m,301,279,22,143,158,70.382158,2.20966,25.774,2.380888,0.885305,0.763441,0.551971,0.744186,0.541219,0.329749,3.873754,BTCUSDT,30m
