model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,long,51,51,51,0,3.517968,2.286835,0.235294,2.0,62.745098,-0.256953,-0.139306,-0.428779,-0.428779,0.289473,0.235294,0.411765,0.235294,0.745098,1.0,3.184211,2.428571,8.416667,4,51
turtle_soup,short,56,56,56,0,3.026699,1.913891,0.25,2.0,62.857143,-0.036894,0.187743,-0.090483,-0.090483,0.278226,0.25,0.553571,0.25,0.642857,1.0,3.972222,4.193548,3.928571,8,56
