model,turtle_quality,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,strong,55,55,55,0,2.777005,1.829065,0.290909,2.0,61.818182,0.049327,0.215317,-0.011525,-0.011525,0.226842,0.290909,0.563636,0.290909,0.618182,1.0,5.352941,4.16129,6.125,5,55
turtle_soup,valid,52,52,52,0,3.772621,2.461664,0.192308,2.0,63.846154,-0.343916,-0.162181,-0.505786,-0.505786,0.343605,0.192308,0.403846,0.192308,0.769231,1.0,2.05,2.47619,5.8,7,52
