model,score_bucket,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,high,203,179,24,119,84,2.647466,1.576676,2.349974,1.417189,0.75419,0.653631,0.446927,0.635468,0.541899,0.340782,4.0,BTCUSDT,4h
Entry Model 1,low,12,11,1,5,7,0.910194,0.607508,1.791895,1.80602,0.727273,0.181818,0.090909,0.75,0.181818,0.090909,2.0,BTCUSDT,4h
Entry Model 1,medium,119,111,8,48,71,1.510011,1.231811,1.859796,1.226214,0.792793,0.531532,0.252252,0.588235,0.432432,0.207207,3.0,BTCUSDT,1h
Entry Model 2,high,547,480,67,259,288,3.345517,1.70242,2.834595,1.673647,0.839583,0.666667,0.458333,0.667276,0.53125,0.333333,4.281536,ETHUSDT,4h
Entry Model 2,medium,23,19,4,16,7,4.673392,3.166784,2.20031,0.881181,0.947368,0.894737,0.736842,0.478261,0.789474,0.631579,3.0,ETHUSDT,4h
Entry Model 3,high,208,198,10,103,105,22.528831,5.052832,7.459636,3.275233,0.914141,0.873737,0.782828,0.822115,0.570707,0.434343,4.0,ETHUSDT,1h
Entry Model 3,low,2,2,0,0,2,1.642299,1.642299,3.900986,3.900986,1.0,0.5,0.5,0.5,0.5,0.5,2.0,ETHUSDT,1h
Entry Model 3,medium,20,20,0,7,13,4.103893,2.170525,3.197144,1.680038,0.8,0.7,0.55,0.75,0.55,0.4,3.0,ETHUSDT,1h
