rank,filter_name,count,filtered_out,expectancy,managed_expectancy,target_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_decision_score,avg_rr,min_decision_score,min_target_distance_r,require_smt,require_session_window,allowed_displacement_grades,allowed_htf_locations,exclude_no_trade_reasons
28,"min_target_distance_r=2;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,0,2,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
29,"min_target_distance_r=2;allowed_htf_locations=discount,premium",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,0,2,false,false,,"discount,premium",
30,"min_target_distance_r=2;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,0,2,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
31,"min_decision_score=50;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,50,0,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
32,"min_decision_score=50;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,50,0,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
33,min_decision_score=50;min_target_distance_r=2,16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,50,2,false,false,,,
34,"min_decision_score=50;min_target_distance_r=2;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,50,2,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
35,"min_decision_score=50;min_target_distance_r=2;allowed_htf_locations=discount,premium",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,50,2,false,false,,"discount,premium",
36,"min_decision_score=50;min_target_distance_r=2;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,50,2,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
37,"min_decision_score=70;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,70,0,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
38,"min_decision_score=70;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,70,0,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
39,min_decision_score=70;min_target_distance_r=2,16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,70,2,false,false,,,
40,"min_decision_score=70;min_target_distance_r=2;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,70,2,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
