model,score_bucket,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
ifvg_retest,high,144,144,53,0,32.182305,19.033577,0.083333,9.657181,75.638889,0.466877,0.469288,-0.822072,-0.822072,0.474594,0.000698,0.475292,0.083333,0.208333,0.138889,0.284722,5.527778,2.146341,1.266667,1.55,33,0
ifvg_retest,medium,183,183,68,0,9.796948,5.199058,0.169399,1.419234,57.972678,-0.038424,0.128522,-0.428596,-0.428596,0.207149,-0.000132,0.207016,0.169399,0.180328,0.065574,0.196721,7.497268,4.111111,2.030303,1.166667,10,183
