model,score_bucket,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,high,14,14,14,0,2.292957,2.20373,0.357143,2.0,80.0,0.183327,-0.088271,-0.361037,-0.361037,0.272765,0.357143,0.428571,0.357143,0.571429,1.0,2.375,4.0,6.6,0,14
turtle_soup,medium,87,87,87,0,3.645856,2.126295,0.241379,2.0,60.0,-0.134911,0.034865,-0.252528,-0.252528,0.287393,0.241379,0.505747,0.241379,0.689655,1.0,3.233333,3.636364,6.666667,11,87
