model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count
silver_bullet,long,30,30,30,0,0.820588,0.616599,0.066667,2.0,-0.008899,0.066667,0.166667,0.066667,0.466667,1.2,6.714286,5.6,5.5,0
silver_bullet,short,30,30,30,0,1.077257,1.011608,0.133333,2.0,0.058897,0.133333,0.3,0.133333,0.5,1.133333,6.266667,9.0,14.75,0
