model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,long,17,17,17,0,4.443236,2.098568,0.588235,1.866355,74.705882,0.403057,0.607375,0.449035,0.449035,0.158339,0.0,0.158339,0.588235,0.705882,0.176471,0.352941,1.0,3.0,6.0,2.333333,2,14
turtle_soup,short,25,25,25,0,3.339349,2.469999,0.6,1.563221,74.0,0.203306,0.418516,0.247214,0.247214,0.171302,0.0,0.171302,0.6,0.56,0.2,0.36,1.0,6.444444,1.357143,1.0,1,21
