model,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
silver_bullet,02:30-02:30,24,24,24,0,4.780868,3.821605,0.375,2.0,78.0,0.125,0.1875,0.1875,0.375,0.541667,0.375,0.625,1.0,5.733333,5.692308,10.0,1,0
silver_bullet,10:45-11:00,46,46,46,0,2.186684,1.814436,0.369565,2.0,78.0,0.29403,0.487482,0.487482,0.369565,0.652174,0.369565,0.521739,1.0,9.583333,7.866667,11.294118,0,0
