model,symbol,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,BTCUSDT,20,20,20,0,3.788684,4.015297,0.75,1.535259,73.0,0.781995,0.756623,0.551558,0.551558,0.207006,-0.001941,0.205065,0.75,0.8,0.45,0.2,1.0,10.75,2.4375,1.444444,0,18
turtle_soup,LINKUSDT,21,21,21,0,3.031591,2.795639,0.52381,1.859083,74.285714,0.374016,0.519548,0.38682,0.38682,0.132491,0.000236,0.132728,0.52381,0.666667,0.238095,0.428571,1.0,3.555556,1.714286,3.2,2,17
turtle_soup,XRPUSDT,17,17,17,0,4.993655,2.699944,0.352941,3.647997,82.941176,0.920624,0.476039,0.335812,0.335812,0.144259,-0.004032,0.140227,0.352941,0.647059,0.411765,0.411765,1.0,3.428571,1.909091,3.857143,2,8
