model,turtle_quality,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,strong,12,12,12,0,2.202748,1.346174,0.083333,2.0,80.0,-0.005796,0.157394,-0.056012,-0.056012,0.213406,0.083333,0.583333,0.083333,0.583333,1.0,9.714286,7.714286,1.0,1,12
turtle_soup,valid,11,11,11,0,1.95061,1.316428,0.090909,2.0,80.0,-0.564459,-0.118444,-0.327456,-0.327456,0.209012,0.090909,0.454545,0.090909,0.818182,1.0,6.777778,4.0,15.0,1,11
