model,timeframe,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,15m,267,236,31,116,151,2.319653,1.368944,2.131749,0.852806,0.877119,0.661017,0.381356,0.524345,0.580508,0.322034,3.842697,BTCUSDT,15m
Entry Model 1,1h,250,215,35,118,132,2.733135,1.294451,3.061637,1.273937,0.730233,0.553488,0.348837,0.608,0.460465,0.269767,3.536,ETHUSDT,1h
Entry Model 2,15m,410,351,59,208,202,2.911243,1.727088,2.977358,1.685248,0.826211,0.695157,0.42735,0.668293,0.552707,0.304843,4.519512,BTCUSDT,15m
Entry Model 2,1h,377,330,46,186,191,3.196541,2.106726,2.827808,1.634708,0.793939,0.687879,0.515152,0.66313,0.530303,0.372727,4.259947,BTCUSDT,1h
Entry Model 3,15m,82,77,5,38,44,11.54769,2.176796,50.811368,2.955303,0.844156,0.714286,0.506494,0.743902,0.506494,0.324675,3.963415,BTCUSDT,15m
Entry Model 3,1h,53,50,3,25,28,7.764864,4.190992,7.193815,3.389278,0.84,0.84,0.78,0.754717,0.62,0.44,3.943396,BTCUSDT,1h
