model,symbol,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,BTCUSDT,265,231,34,125,140,2.357626,1.368432,2.379575,1.054448,0.835498,0.632035,0.367965,0.573585,0.532468,0.290043,3.732075,BTCUSDT,15m
Entry Model 1,ETHUSDT,252,220,32,109,143,2.683866,1.310321,2.780286,0.958483,0.777273,0.586364,0.363636,0.555556,0.513636,0.304545,3.654762,ETHUSDT,1h
Entry Model 2,BTCUSDT,426,370,55,203,223,3.247602,1.966952,3.025813,1.684573,0.843243,0.727027,0.486486,0.678404,0.554054,0.337838,4.41784,BTCUSDT,15m
Entry Model 2,ETHUSDT,361,311,50,191,170,2.813801,1.645551,2.761024,1.609155,0.771704,0.649518,0.450161,0.65097,0.527331,0.337621,4.368421,ETHUSDT,1h
Entry Model 3,BTCUSDT,79,76,3,33,46,13.604823,2.810278,52.673734,3.365384,0.842105,0.776316,0.631579,0.772152,0.526316,0.342105,3.987342,BTCUSDT,15m
Entry Model 3,ETHUSDT,56,51,5,30,26,4.773505,2.56867,5.273771,2.773171,0.843137,0.745098,0.588235,0.714286,0.588235,0.411765,3.910714,ETHUSDT,1h
