model,direction,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,long,234,207,27,234,0,2.903634,1.451193,1.794314,0.831557,0.830918,0.63285,0.405797,0.508547,0.531401,0.318841,3.705128,ETHUSDT,1h
Entry Model 1,short,283,244,39,0,283,2.188565,1.173974,3.237384,1.218028,0.786885,0.590164,0.331967,0.611307,0.516393,0.278689,3.685512,ETHUSDT,15m
Entry Model 2,long,394,348,45,394,0,3.481476,2.143842,2.57381,1.378054,0.816092,0.706897,0.520115,0.619289,0.545977,0.373563,4.398477,BTCUSDT,1h
Entry Model 2,short,393,333,60,0,393,2.598052,1.692377,3.250881,1.868878,0.804805,0.675676,0.417417,0.712468,0.537538,0.3003,4.391858,BTCUSDT,15m
Entry Model 3,long,63,58,5,63,0,7.29115,3.336077,4.001666,2.600792,0.862069,0.793103,0.672414,0.714286,0.568966,0.362069,3.952381,BTCUSDT,1h
Entry Model 3,short,72,69,3,0,72,12.384473,2.254565,58.551731,3.629159,0.826087,0.73913,0.565217,0.777778,0.536232,0.376812,3.958333,BTCUSDT,15m
