model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,long,15,15,15,0,1.449657,0.817198,0.2,2.0,77.333333,0.006591,-0.081776,-0.227036,-0.227036,0.145259,0.2,0.333333,0.2,0.6,1.0,11.777778,7.2,30.0,0,15
turtle_soup,short,22,22,22,0,1.518729,1.295003,0.090909,2.0,78.636364,-0.412909,0.122804,-0.017212,-0.017212,0.140016,0.090909,0.545455,0.090909,0.727273,1.0,20.75,15.083333,13.0,0,22
