model,score_bucket,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,high,1,1,1,0,1.934512,1.934512,0.0,2.0,80.0,-1.0,0.5,0.222117,0.222117,0.277883,0.0,1.0,0.0,1.0,1.0,7.0,5.0,,1,1
turtle_soup,medium,12,12,12,0,4.799965,3.229185,0.25,2.0,60.0,-0.083668,0.049866,-0.291257,-0.291257,0.341123,0.25,0.5,0.25,0.666667,1.0,2.25,3.166667,7.666667,0,12
