scope,model,threshold,filter_name,filtered_out,count,activated_trades,invalidated_before_entry,avg_decision_score,avg_mfe_r,median_mfe_r,avg_rr,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,profit_factor,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,same_bar_ambiguous_count,no_trade_reason_count,top_no_trade_reasons
all,ALL,0,none,0,13,13,0,61.538462,4.579546,2.615719,2.0,-0.154155,0.084492,-0.251766,-0.251766,0.336258,0.562447,0.230769,0.538462,0.230769,0.692308,1,13,target_rr_below_3:13
model,turtle_soup,0,none,0,13,13,0,61.538462,4.579546,2.615719,2.0,-0.154155,0.084492,-0.251766,-0.251766,0.336258,0.562447,0.230769,0.538462,0.230769,0.692308,1,13,target_rr_below_3:13
